season,round,raceName,date,time,circuitName,qualifying_date,qualifying_time,sprint_date,sprint_time,sprint_qualifying_date,sprint_qualifying_time,practice_1_date,practice_1_time,practice_2_date,practice_2_time,practice_3_date,practice_3_time
2024,1,Bahrain Grand Prix,2024-03-02,15:00:00Z,Bahrain International Circuit,2024-03-01,16:00:00Z,,,,,2024-02-29,11:30:00Z,2024-02-29,15:00:00Z,2024-03-01,12:30:00Z
2024,2,Saudi Arabian Grand Prix,2024-03-09,17:00:00Z,Jeddah Corniche Circuit,2024-03-08,17:00:00Z,,,,,2024-03-07,13:30:00Z,2024-03-07,17:00:00Z,2024-03-08,13:30:00Z
2024,3,Australian Grand Prix,2024-03-24,04:00:00Z,Albert Park Grand Prix Circuit,2024-03-23,05:00:00Z,,,,,2024-03-22,01:30:00Z,2024-03-22,05:00:00Z,2024-03-23,01:30:00Z
2024,4,Japanese Grand Prix,2024-04-07,05:00:00Z,Suzuka Circuit,2024-04-06,06:00:00Z,,,,,2024-04-05,02:30:00Z,2024-04-05,06:00:00Z,2024-04-06,02:30:00Z
2024,5,Chinese Grand Prix,2024-04-21,07:00:00Z,Shanghai International Circuit,2024-04-20,07:00:00Z,2024-04-20,03:00:00Z,2024-04-19,07:30:00Z,2024-04-19,03:30:00Z,,,,
2024,6,Miami Grand Prix,2024-05-05,20:00:00Z,Miami International Autodrome,2024-05-04,20:00:00Z,2024-05-04,16:00:00Z,2024-05-03,20:30:00Z,2024-05-03,16:30:00Z,,,,
2024,7,Emilia Romagna Grand Prix,2024-05-19,13:00:00Z,Autodromo Enzo e Dino Ferrari,2024-05-18,14:00:00Z,,,,,2024-05-17,11:30:00Z,2024-05-17,15:00:00Z,2024-05-18,10:30:00Z
2024,8,Monaco Grand Prix,2024-05-26,13:00:00Z,Circuit de Monaco,2024-05-25,14:00:00Z,,,,,2024-05-24,11:30:00Z,2024-05-24,15:00:00Z,2024-05-25,10:30:00Z
2024,9,Canadian Grand Prix,2024-06-09,18:00:00Z,Circuit Gilles Villeneuve,2024-06-08,20:00:00Z,,,,,2024-06-07,17:30:00Z,2024-06-07,21:00:00Z,2024-06-08,16:30:00Z
2024,10,Spanish Grand Prix,2024-06-23,13:00:00Z,Circuit de Barcelona-Catalunya,2024-06-22,14:00:00Z,,,,,2024-06-21,11:30:00Z,2024-06-21,15:00:00Z,2024-06-22,10:30:00Z
2024,11,Austrian Grand Prix,2024-06-30,13:00:00Z,Red Bull Ring,2024-06-29,14:00:00Z,2024-06-29,10:00:00Z,2024-06-28,14:30:00Z,2024-06-28,10:30:00Z,,,,
2024,12,British Grand Prix,2024-07-07,14:00:00Z,Silverstone Circuit,2024-07-06,14:00:00Z,,,,,2024-07-05,11:30:00Z,2024-07-05,15:00:00Z,2024-07-06,10:30:00Z
2024,13,Hungarian Grand Prix,2024-07-21,13:00:00Z,Hungaroring,2024-07-20,14:00:00Z,,,,,2024-07-19,11:30:00Z,2024-07-19,15:00:00Z,2024-07-20,10:30:00Z
2024,14,Belgian Grand Prix,2024-07-28,13:00:00Z,Circuit de Spa-Francorchamps,2024-07-27,14:00:00Z,,,,,2024-07-26,11:30:00Z,2024-07-26,15:00:00Z,2024-07-27,10:30:00Z
2024,15,Dutch Grand Prix,2024-08-25,13:00:00Z,Circuit Park Zandvoort,2024-08-24,13:00:00Z,,,,,2024-08-23,10:30:00Z,2024-08-23,14:00:00Z,2024-08-24,09:30:00Z
2024,16,Italian Grand Prix,2024-09-01,13:00:00Z,Autodromo Nazionale di Monza,2024-08-31,14:00:00Z,,,,,2024-08-30,11:30:00Z,2024-08-30,15:00:00Z,2024-08-31,10:30:00Z
2024,17,Azerbaijan Grand Prix,2024-09-15,11:00:00Z,Baku City Circuit,2024-09-14,12:00:00Z,,,,,2024-09-13,09:30:00Z,2024-09-13,13:00:00Z,2024-09-14,08:30:00Z
2024,18,Singapore Grand Prix,2024-09-22,12:00:00Z,Marina Bay Street Circuit,2024-09-21,13:00:00Z,,,,,2024-09-20,09:30:00Z,2024-09-20,13:00:00Z,2024-09-21,09:30:00Z
2024,19,United States Grand Prix,2024-10-20,19:00:00Z,Circuit of the Americas,2024-10-19,22:00:00Z,2024-10-19,18:00:00Z,2024-10-18,21:30:00Z,2024-10-18,17:30:00Z,,,,
2024,20,Mexico City Grand Prix,2024-10-27,20:00:00Z,Autódromo Hermanos Rodríguez,2024-10-26,21:00:00Z,,,,,2024-10-25,18:30:00Z,2024-10-25,22:00:00Z,2024-10-26,17:30:00Z
2024,21,São Paulo Grand Prix,2024-11-03,17:00:00Z,Autódromo José Carlos Pace,2024-11-02,18:00:00Z,2024-11-02,14:00:00Z,2024-11-01,18:30:00Z,2024-11-01,14:30:00Z,,,,
2024,22,Las Vegas Grand Prix,2024-11-23,06:00:00Z,Las Vegas Strip Street Circuit,2024-11-22,06:00:00Z,,,,,2024-11-21,02:30:00Z,2024-11-21,06:00:00Z,2024-11-22,02:30:00Z
2024,23,Qatar Grand Prix,2024-12-01,16:00:00Z,Losail International Circuit,2024-11-30,18:00:00Z,2024-11-30,14:00:00Z,2024-11-29,17:30:00Z,2024-11-29,13:30:00Z,,,,
2024,24,Abu Dhabi Grand Prix,2024-12-08,13:00:00Z,Yas Marina Circuit,2024-12-07,14:00:00Z,,,,,2024-12-06,09:30:00Z,2024-12-06,13:00:00Z,2024-12-07,10:30:00Z
