entity_type,entity_id,entity_name,weight,shrunk_alpha,shrunk_beta,baseline,shrunk_adjustment,shrunk_candidate_sprint_ev
constructor,alpine,Alpine,0,5.107181041,0.1650979121,26.45454545,9.474771262,35.92931672
constructor,alpine,Alpine,0.25,3.438777389,0.205699891,26.45454545,8.880474505,35.33501996
constructor,alpine,Alpine,0.5,1.770373737,0.2463018698,26.45454545,8.286177748,34.7407232
constructor,alpine,Alpine,0.75,0.1019700855,0.2869038487,26.45454545,7.691880991,34.14642645
constructor,alpine,Alpine,1,-1.566433566,0.3275058275,26.45454545,7.097584234,33.55212969
constructor,aston_martin,Aston Martin,0,5.107181041,0.1650979121,-8.090909091,3.771388843,-4.319520248
constructor,aston_martin,Aston Martin,0.25,5.870738204,0.1612243152,-8.090909091,4.566286927,-3.524622164
constructor,aston_martin,Aston Martin,0.5,6.634295367,0.1573507182,-8.090909091,5.36118501,-2.729724081
constructor,aston_martin,Aston Martin,0.75,7.397852529,0.1534771212,-8.090909091,6.156083094,-1.934825997
constructor,aston_martin,Aston Martin,1,8.161409692,0.1496035242,-8.090909091,6.950981177,-1.139927913
constructor,audi,Audi,0,5.107181041,0.1650979121,12.6,7.187414734,19.78741473
constructor,audi,Audi,0.25,2.323432939,0.1842829262,12.6,4.64539781,17.24539781
constructor,audi,Audi,0.5,-0.4603151625,0.2034679403,12.6,2.103380886,14.70338089
constructor,audi,Audi,0.75,-3.244063264,0.2226529545,12.6,-0.4386360383,12.16136396
constructor,audi,Audi,1,-6.027811366,0.2418379686,12.6,-2.980652963,9.619347037
constructor,cadillac,Cadillac,0,5.107181041,0.1650979121,-6.727272727,3.99652236,-2.730750367
constructor,cadillac,Cadillac,0.25,5.699547719,0.04656459516,-6.727272727,5.386294988,-1.340977739
constructor,cadillac,Cadillac,0.5,6.291914397,-0.0719687218,-6.727272727,6.776067616,0.04879488887
constructor,cadillac,Cadillac,0.75,6.884281074,-0.1905020388,-6.727272727,8.165840244,1.438567517
constructor,cadillac,Cadillac,1,7.476647752,-0.3090353557,-6.727272727,9.555612873,2.828340145
constructor,ferrari,Ferrari,0,5.107181041,0.1650979121,63.18181818,15.53836731,78.72018549
constructor,ferrari,Ferrari,0.25,0.248015044,0.2444229941,63.18181818,15.69110421,78.8729224
constructor,ferrari,Ferrari,0.5,-4.611150953,0.323748076,63.18181818,15.84384112,79.0256593
constructor,ferrari,Ferrari,0.75,-9.470316951,0.4030731579,63.18181818,15.99657803,79.17839621
constructor,ferrari,Ferrari,1,-14.32948295,0.4823982398,63.18181818,16.14931493,79.33113311
constructor,haas,Haas F1 Team,0,5.107181041,0.1650979121,15.72727273,7.703720932,23.43099366
constructor,haas,Haas F1 Team,0.25,5.763648756,0.1549259918,15.72727273,8.200212082,23.92748481
constructor,haas,Haas F1 Team,0.5,6.420116471,0.1447540715,15.72727273,8.696703232,24.42397596
constructor,haas,Haas F1 Team,0.75,7.076584185,0.1345821512,15.72727273,9.193194382,24.92046711
constructor,haas,Haas F1 Team,1,7.7330519,0.1244102309,15.72727273,9.689685532,25.41695826
