entity_type,canonical_entity_id,name,abbreviation,normal_event_count,normal_weekend_mean,normal_weekend_median,normal_weekend_standard_deviation,normal_weekend_trimmed_mean,recent_normal_form,sprint_selected_event_count,sprint_event_count,mean_extra_sprint_points,median_extra_sprint_points,extra_sprint_points_standard_deviation,minimum_extra_sprint_points,maximum_extra_sprint_points,total_2026_points,entity,current_price,price_percentile_within_entity_type,sprint_component_coverage,form_rank,bonus_rank,current_price_source,form_scope
constructor,mercedes,Mercedes,MER,7,70.71428571,71,22.8306394,70.71428571,66.54623346,4,4,21.25,22,7.847504911,11,30,882,Mercedes,32.6,1,1,1,1,verified_official_market_cache,all_completed_2026_normal_weekends_current_state_descriptive
constructor,ferrari,Ferrari,FER,7,61.28571429,69,15.90297965,61.28571429,62.73139405,4,4,17.75,13,12.33896268,9,36,766,Ferrari,26.6,0.7272727273,1,2,2,verified_official_market_cache,all_completed_2026_normal_weekends_current_state_descriptive
constructor,red_bull,Red Bull,RBR,7,50,59,22.50925735,50,56.30953499,4,4,6.25,7.5,10.78192933,-8,18,502,Red Bull Racing,30.9,0.8181818182,1,3,9,verified_official_market_cache,all_completed_2026_normal_weekends_current_state_descriptive
constructor,mclaren,McLaren,MCL,7,47.14285714,49,24.35452437,47.14285714,49.29162145,4,4,17.75,18.5,5.057996968,12,22,538,McLaren,31,0.9090909091,1,4,2,verified_official_market_cache,all_completed_2026_normal_weekends_current_state_descriptive
constructor,rb,Racing Bulls,RBS,7,30.71428571,35,11.51396667,30.71428571,32.00134433,4,4,6.75,10,8.61684397,-6,13,344,Racing Bulls,12.9,0.4545454545,1,5,8,verified_official_market_cache,all_completed_2026_normal_weekends_current_state_descriptive
constructor,alpine,Alpine,ALP,7,23.57142857,22,5.349677338,23.57142857,22.20950422,4,4,8.75,10,4.031128874,3,12,326,Alpine,18.8,0.6363636364,1,6,6,verified_official_market_cache,all_completed_2026_normal_weekends_current_state_descriptive
constructor,audi,Audi,AUD,6,18.16666667,20,9.174239296,18.16666667,19.23471246,4,4,-5,2,16.79285562,-30,6,106,Audi,6.8,0.2727272727,1,7,11,verified_official_market_cache,all_completed_2026_normal_weekends_current_state_descriptive
constructor,haas,Haas,HAA,7,10.85714286,13,13.9095719,10.85714286,10.84099707,4,4,10.75,12,3.947573094,5,14,216,Haas F1 Team,12,0.3636363636,1,8,5,verified_official_market_cache,all_completed_2026_normal_weekends_current_state_descriptive
constructor,williams,Williams,WIL,7,8.857142857,9,9.227288721,8.857142857,8.541325861,3,3,13.33333333,9,10.21436896,6,25,132,Williams,13,0.5454545455,1,9,4,verified_official_market_cache,all_completed_2026_normal_weekends_current_state_descriptive
constructor,aston_martin,Aston Martin,AST,7,-11.14285714,-12,24.55217961,-11.14285714,-3.898349557,4,4,7.75,8.5,10.84358489,-6,20,-58,Aston Martin,5.7,0.1818181818,1,10,7,verified_official_market_cache,all_completed_2026_normal_weekends_current_state_descriptive
constructor,cadillac,Cadillac,CAD,7,-17,-13,14.74222959,-17,-21.43588539,4,4,4,3,5.291502622,-1,11,-58,Cadillac,3,0.09090909091,1,11,10,verified_official_market_cache,all_completed_2026_normal_weekends_current_state_descriptive
driver,antonelli,Andrea Kimi Antonelli,ANT,7,33.42857143,35,19.12988189,33.42857143,31.90055231,4,4,10,11.5,6.377042157,1,16,429,Kimi Antonelli,25.7,0.8636363636,1,1,4,verified_official_market_cache,all_completed_2026_normal_weekends_current_state_descriptive
driver,hamilton,Lewis Hamilton,HAM,7,28.71428571,25,12.36546651,28.71428571,28.44309292,4,4,7,5,5.477225575,3,15,344,Lewis Hamilton,25,0.8181818182,1,2,9,verified_official_market_cache,all_completed_2026_normal_weekends_current_state_descriptive
driver,max_verstappen,Max Verstappen,VER,7,26,26,20.76856599,26,28.20386777,4,4,6.5,4.5,5.916079783,2,15,271,Max Verstappen,27.6,0.9545454545,1,3,11,verified_official_market_cache,all_completed_2026_normal_weekends_current_state_descriptive
driver,russell,George Russell,RUS,6,23.5,27.5,17.86337034,23.5,20.26810651,4,4,11.25,11,2.217355783,9,14,276,George Russell,27.9,1,1,4,1,verified_official_market_cache,all_completed_2026_normal_weekends_current_state_descriptive
driver,leclerc,Charles Leclerc,LEC,6,21,30,19.43193248,21,22.63431347,4,4,10.75,8,6.898067362,6,21,285,Charles Leclerc,23.9,0.7272727273,1,5,2,verified_official_market_cache,all_completed_2026_normal_weekends_current_state_descriptive
driver,norris,Lando Norris,NOR,7,19.85714286,23,18.99498681,19.85714286,23.84511103,4,4,10.25,11,4.11298756,5,14,227,Lando Norris,26.1,0.9090909091,1,6,3,verified_official_market_cache,all_completed_2026_normal_weekends_current_state_descriptive
driver,hadjar,Isack Hadjar,HAD,7,15.14285714,15,14.2761873,15.14285714,18.62307057,4,4,-0.25,3,6.5,-10,3,138,Isack Hadjar,14.5,0.6818181818,1,7,20,verified_official_market_cache,all_completed_2026_normal_weekends_current_state_descriptive
driver,piastri,Oscar Piastri,PIA,7,13.57142857,19,19.93202735,13.57142857,11.54566657,4,4,7.5,7.5,1.290994449,6,9,160,Oscar Piastri,24.4,0.7727272727,1,8,8,verified_official_market_cache,all_completed_2026_normal_weekends_current_state_descriptive
driver,gasly,Pierre Gasly,GAS,7,12,11,7.438637868,12,10.30896811,4,3,4.333333333,5,1.154700538,3,5,135,Pierre Gasly,13,0.6363636364,0.75,9,14,verified_official_market_cache,all_completed_2026_normal_weekends_current_state_descriptive
driver,lawson,Liam Lawson,LAW,7,8.571428571,9,3.823486317,8.571428571,8.705803275,4,4,8.75,8.5,4.573474245,4,14,128,Liam Lawson,10.3,0.5,1,10,5,verified_official_market_cache,all_completed_2026_normal_weekends_current_state_descriptive
driver,arvid_lindblad,Arvid Lindblad,LIN,7,8.428571429,6,6.187545094,8.428571429,7.236034402,4,4,-2,-1,6.32455532,-10,4,64,Arvid Lindblad,8,0.4090909091,1,11,21,verified_official_market_cache,all_completed_2026_normal_weekends_current_state_descriptive
driver,ocon,Esteban Ocon,OCO,7,7.857142857,8,2.544836041,7.857142857,6.984726519,4,4,6.75,7.5,2.872281323,3,9,120,Esteban Ocon,10.7,0.5454545455,1,12,10,verified_official_market_cache,all_completed_2026_normal_weekends_current_state_descriptive
driver,bortoleto,Gabriel Bortoleto,BOR,7,7.285714286,7,3.401680257,7.285714286,7.49676876,4,4,0.25,2.5,7.041543391,-10,6,65,Gabriel Bortoleto,7.8,0.3636363636,1,13,18,verified_official_market_cache,all_completed_2026_normal_weekends_current_state_descriptive
driver,colapinto,Franco Colapinto,COL,6,6.666666667,7,2.804757862,6.666666667,6.508717148,4,4,5.5,7.5,5.066228051,-2,9,123,Franco Colapinto,11.2,0.5909090909,1,14,12,verified_official_market_cache,all_completed_2026_normal_weekends_current_state_descriptive
driver,sainz,Carlos Sainz,SAI,7,2.285714286,4,9.860937848,2.285714286,1.820411072,4,2,8,8,5.656854249,4,12,82,Carlos Sainz,10,0.4545454545,0.5,15,6,verified_official_market_cache,all_completed_2026_normal_weekends_current_state_descriptive
driver,albon,Alexander Albon,ALB,7,2,4,8.640987598,2,2.060996744,4,4,7.75,6.5,3.593976442,5,13,6,Alexander Albon,5.8,0.2272727273,1,16,7,verified_official_market_cache,all_completed_2026_normal_weekends_current_state_descriptive
driver,alonso,Fernando Alonso,ALO,7,1.428571429,5,12.14985793,1.428571429,3.431852416,4,4,2.5,4.5,8.185352772,-9,10,5,Fernando Alonso,6.2,0.2727272727,1,17,17,verified_official_market_cache,all_completed_2026_normal_weekends_current_state_descriptive
driver,bearman,Oliver Bearman,BEA,7,0.8571428571,3,13.38442592,0.8571428571,1.644207253,4,4,4,4,1.825741858,2,6,69,Oliver Bearman,7.6,0.3181818182,1,18,15,verified_official_market_cache,all_completed_2026_normal_weekends_current_state_descriptive
driver,hulkenberg,Nico Hülkenberg,HUL,7,-0.5714285714,4,11.92835757,-0.5714285714,1.76714015,4,4,-2.75,-2,5.439056291,-10,3,-32,Nico Hulkenberg,3,0.09090909091,1,19,22,verified_official_market_cache,all_completed_2026_normal_weekends_current_state_descriptive
driver,perez,Sergio Pérez,PER,7,-4.285714286,4,12.97066287,-4.285714286,-8.793767513,4,4,3.75,4.5,4.991659711,-3,9,5,Sergio Perez,3.8,0.1818181818,1,20,16,verified_official_market_cache,all_completed_2026_normal_weekends_current_state_descriptive
driver,bottas,Valtteri Bottas,BOT,7,-12,-16,9.327379053,-12,-11.90126496,4,4,0.25,1.5,5.909032634,-8,6,-60,Valtteri Bottas,3,0.09090909091,1,21,18,verified_official_market_cache,all_completed_2026_normal_weekends_current_state_descriptive
driver,stroll,Lance Stroll,STR,7,-14.42857143,-19,13.13845682,-14.42857143,-10.40431804,4,4,5.25,4,3.304037934,3,10,-80,Lance Stroll,3,0.09090909091,1,22,13,verified_official_market_cache,all_completed_2026_normal_weekends_current_state_descriptive
