entity_type,entity_id,entity,model,residual,leverage,cooks_distance,influential_cook_threshold
constructor,mercedes,Mercedes,constrained_form_price,3.310606061,0.335973431,0.08279665285,False
constructor,ferrari,Ferrari,constrained_form_price,4.610606061,0.3910385361,0.2222387155,False
constructor,red_bull,Red Bull Racing,constrained_form_price,-8.489393939,0.1727399107,0.1803539536,False
constructor,mclaren,McLaren,constrained_form_price,1.410606061,0.3219979291,0.01381867098,False
constructor,rb,Racing Bulls,constrained_form_price,-1.589393939,0.2034908451,0.008033229689,False
constructor,alpine,Alpine,constrained_form_price,-2.789393939,0.1870903483,0.02183988147,False
constructor,audi,Audi,constrained_form_price,-10.13939394,0.3373450348,0.7830457749,True
constructor,haas,Haas F1 Team,constrained_form_price,4.010606061,0.1272873085,0.02665178364,False
constructor,williams,Williams,constrained_form_price,3.393939394,0.3227274592,0.08034907768,False
constructor,aston_martin,Aston Martin,constrained_form_price,4.210606061,0.2671804658,0.08745076193,False
constructor,cadillac,Cadillac,constrained_form_price,2.060606061,0.3331287315,0.03153419661,False
driver,antonelli,Kimi Antonelli,constrained_form_price,1.785730823,0.3415011467,0.07158743586,False
driver,hamilton,Lewis Hamilton,constrained_form_price,-0.818023186,0.215178449,0.006663629721,False
driver,max_verstappen,Max Verstappen,constrained_form_price,-2.50676116,0.1478793136,0.03647991521,False
driver,russell,George Russell,constrained_form_price,1.846992849,0.2146801962,0.03384948064,False
driver,leclerc,Charles Leclerc,constrained_form_price,3.724468797,0.09431573274,0.04546548971,False
driver,norris,Lando Norris,constrained_form_price,1.639484831,0.1731366574,0.01940256085,False
driver,hadjar,Isack Hadjar,constrained_form_price,-6.879285212,0.05988041398,0.09139615402,False
driver,piastri,Oscar Piastri,constrained_form_price,0.0782228053,0.1455793868,3.478130894e-05,False
driver,gasly,Pierre Gasly,constrained_form_price,-1.899705887,0.0598092823,0.006960366483,False
driver,lawson,Liam Lawson,constrained_form_price,3.705698753,0.04574079358,0.01966228097,False
driver,arvid_lindblad,Arvid Lindblad,constrained_form_price,-6.251809264,0.07720238118,0.1010070999,False
driver,ocon,Esteban Ocon,constrained_form_price,1.309452762,0.05815913087,0.003204536432,False
driver,bortoleto,Gabriel Bortoleto,constrained_form_price,-3.605563273,0.09396226469,0.042416013,False
driver,colapinto,Franco Colapinto,constrained_form_price,-0.3367932294,0.1086702557,0.0004422657331,False
driver,sainz,Carlos Sainz,constrained_form_price,3.351944745,0.08895134106,0.03432304047,False
driver,albon,Alexander Albon,constrained_form_price,5.083174701,0.1290136885,0.1252581237,False
driver,alonso,Fernando Alonso,constrained_form_price,-0.5630712902,0.08645992632,0.0009362872738,False
driver,bearman,Oliver Bearman,constrained_form_price,0.5406827185,0.06897630951,0.0006631108969,False
driver,hulkenberg,Nico Hulkenberg,constrained_form_price,-4.228087325,0.2468634858,0.2217788071,True
driver,perez,Sergio Perez,constrained_form_price,1.479420692,0.1093506413,0.008600305724,False
driver,bottas,Valtteri Bottas,constrained_form_price,-1.228087325,0.1889001603,0.01234425517,False
driver,stroll,Lance Stroll,constrained_form_price,3.771912675,0.2457890425,0.1752357851,False
