entity_type,model,held_out_entity_id,held_out_entity,actual_bonus,predicted_bonus,alpha,gamma,delta,eta,ridge_penalty,error
constructor,constant,mercedes,Mercedes,21.25,8.808333333,8.808333333,,,,,-12.44166667
constructor,constant,ferrari,Ferrari,17.75,9.158333333,9.158333333,,,,,-8.591666667
constructor,constant,red_bull,Red Bull Racing,6.25,10.30833333,10.30833333,,,,,4.058333333
constructor,constant,mclaren,McLaren,17.75,9.158333333,9.158333333,,,,,-8.591666667
constructor,constant,rb,Racing Bulls,6.75,10.25833333,10.25833333,,,,,3.508333333
constructor,constant,alpine,Alpine,8.75,10.05833333,10.05833333,,,,,1.308333333
constructor,constant,audi,Audi,-5,11.43333333,11.43333333,,,,,16.43333333
constructor,constant,haas,Haas F1 Team,10.75,9.858333333,9.858333333,,,,,-0.8916666667
constructor,constant,williams,Williams,13.33333333,9.6,9.6,,,,,-3.733333333
constructor,constant,aston_martin,Aston Martin,7.75,10.15833333,10.15833333,,,,,2.408333333
constructor,constant,cadillac,Cadillac,4,10.53333333,10.53333333,,,,,6.533333333
constructor,proportional,mercedes,Mercedes,21.25,17.1025674,,0.2418544886,,,,-4.147432595
constructor,proportional,ferrari,Ferrari,17.75,15.39596381,,0.2512161927,,,,-2.354036189
constructor,proportional,red_bull,Red Bull Racing,6.25,14.27429153,,0.2854858305,,,,8.024291526
constructor,proportional,mclaren,McLaren,17.75,11.3810791,,0.2414168293,,,,-6.368920903
constructor,proportional,rb,Racing Bulls,6.75,8.072699385,,0.262832073,,,,1.322699385
constructor,proportional,alpine,Alpine,8.75,6.040591833,,0.2562675323,,,,-2.709408167
constructor,proportional,audi,Audi,-5,4.934393643,,0.2716179987,,,,9.934393643
constructor,proportional,haas,Haas F1 Team,10.75,2.766774395,,0.2548344838,,,,-7.983225605
constructor,proportional,williams,Williams,13.33333333,2.250714489,,0.2541129262,,,,-11.08261884
constructor,proportional,aston_martin,Aston Martin,7.75,-2.98399071,,0.267794038,,,,-10.73399071
constructor,proportional,cadillac,Cadillac,4,-4.580546797,,0.2694439293,,,,-8.580546797
constructor,hybrid,mercedes,Mercedes,21.25,14.33760311,6.270632911,0.1140783664,,,,-6.912396894
constructor,hybrid,ferrari,Ferrari,17.75,14.38907491,5.974645298,0.1372983853,,,,-3.360925087
constructor,hybrid,red_bull,Red Bull Racing,6.25,14.83907295,6.018684342,0.1764077721,,,,8.589072947
constructor,hybrid,mclaren,McLaren,17.75,12.26420671,5.768348166,0.1377909388,,,,-5.485793292
constructor,hybrid,rb,Racing Bulls,6.75,10.94551752,6.222727974,0.1537652409,,,,4.195517517
constructor,hybrid,alpine,Alpine,8.75,9.545512684,5.977751313,0.1513595733,,,,0.7955126837
constructor,hybrid,audi,Audi,-5,10.16602267,7.699292972,0.1357832859,,,,15.16602267
constructor,hybrid,haas,Haas F1 Team,10.75,7.099789635,5.375936098,0.1587759837,,,,-3.650210365
constructor,hybrid,williams,Williams,13.33333333,6.330420874,4.850937314,0.1670384665,,,,-7.002912459
constructor,hybrid,aston_martin,Aston Martin,7.75,2.915912053,4.857068435,0.174206342,,,,-4.834087947
constructor,hybrid,cadillac,Cadillac,4,2.989745325,5.660505397,0.1571035337,,,,-1.010254675
constructor,price_only,mercedes,Mercedes,21.25,16.39444444,1.222222222,,15.17222222,,,-4.855555556
constructor,price_only,ferrari,Ferrari,17.75,12.46701389,0.4354482323,,16.54340278,,,-5.282986111
constructor,price_only,red_bull,Red Bull Racing,6.25,16.51190476,-0.4069264069,,20.67857143,,,10.26190476
constructor,price_only,mclaren,McLaren,17.75,15.90277778,0.5744949495,,16.86111111,,,-1.847222222
constructor,price_only,rb,Racing Bulls,6.75,8.515993266,0.5962656872,,17.42340067,,,1.765993266
constructor,price_only,alpine,Alpine,8.75,11.8493266,0.4520967248,,17.90993266,,,3.099326599
constructor,price_only,audi,Audi,-5,7.256410256,3.459207459,,13.92307692,,,12.25641026
constructor,price_only,haas,Haas F1 Team,10.75,6.154513889,-0.5797032828,,18.51909722,,,-4.595486111
constructor,price_only,williams,Williams,13.33333333,9.6,-2.24693342e-15,,17.6,,,-3.733333333
constructor,price_only,aston_martin,Aston Martin,7.75,2.236111111,-1.36489899,,19.80555556,,,-5.513888889
constructor,price_only,cadillac,Cadillac,4,0.9777777778,-0.7595959596,,19.11111111,,,-3.022222222
constructor,form_price,mercedes,Mercedes,21.25,15.4577209,-1.238553623,-0.1295578124,25.85786268,,,-5.792279104
constructor,form_price,ferrari,Ferrari,17.75,6.792095532,-4.760349659,-0.260927688,37.87242927,,,-10.95790447
constructor,form_price,red_bull,Red Bull Racing,6.25,16.52931776,-2.634820403,-0.1096416641,30.12315945,,,10.27931776
constructor,form_price,mclaren,McLaren,17.75,17.40264338,-1.767089475,-0.1059025309,26.57850882,,,-0.3473566153
constructor,form_price,rb,Racing Bulls,6.75,7.123601268,-1.746769221,-0.105400898,26.63690433,,,0.3736012684
constructor,form_price,alpine,Alpine,8.75,13.63915291,-2.48219944,-0.1476929048,30.80421945,,,4.889152905
constructor,form_price,audi,Audi,-5,7.842492438,4.265039215,0.03233405167,10.96352138,,,12.84249244
constructor,form_price,haas,Haas F1 Team,10.75,6.172007265,-2.773146286,-0.1081798959,27.82911487,,,-4.577992735
constructor,form_price,williams,Williams,13.33333333,11.17684656,-1.492660663,-0.08055900219,24.53555467,,,-2.156486769
constructor,form_price,aston_martin,Aston Martin,7.75,2.966176612,-2.884331732,-0.08593017567,26.91150369,,,-4.783823388
constructor,form_price,cadillac,Cadillac,4,1.646218891,-2.564947336,-0.1008665632,27.46078117,,,-2.353781109
constructor,constrained_proportional,mercedes,Mercedes,21.25,17.1025674,,0.2418544886,,,,-4.147432595
constructor,constrained_proportional,ferrari,Ferrari,17.75,15.39596381,,0.2512161927,,,,-2.354036189
constructor,constrained_proportional,red_bull,Red Bull Racing,6.25,14.27429153,,0.2854858305,,,,8.024291526
constructor,constrained_proportional,mclaren,McLaren,17.75,11.3810791,,0.2414168293,,,,-6.368920903
constructor,constrained_proportional,rb,Racing Bulls,6.75,8.072699385,,0.262832073,,,,1.322699385
constructor,constrained_proportional,alpine,Alpine,8.75,6.040591833,,0.2562675323,,,,-2.709408167
constructor,constrained_proportional,audi,Audi,-5,4.934393643,,0.2716179987,,,,9.934393643
constructor,constrained_proportional,haas,Haas F1 Team,10.75,2.766774395,,0.2548344838,,,,-7.983225605
constructor,constrained_proportional,williams,Williams,13.33333333,2.250714489,,0.2541129262,,,,-11.08261884
constructor,constrained_proportional,aston_martin,Aston Martin,7.75,0,,0.267794038,,,,-7.75
constructor,constrained_proportional,cadillac,Cadillac,4,0,,0.2694439293,,,,-4
constructor,constrained_hybrid,mercedes,Mercedes,21.25,14.33760311,6.270632911,0.1140783664,,,,-6.912396894
constructor,constrained_hybrid,ferrari,Ferrari,17.75,14.38907491,5.974645298,0.1372983853,,,,-3.360925087
constructor,constrained_hybrid,red_bull,Red Bull Racing,6.25,14.83907295,6.018684342,0.1764077721,,,,8.589072947
constructor,constrained_hybrid,mclaren,McLaren,17.75,12.26420671,5.768348166,0.1377909388,,,,-5.485793292
constructor,constrained_hybrid,rb,Racing Bulls,6.75,10.94551752,6.222727974,0.1537652409,,,,4.195517517
constructor,constrained_hybrid,alpine,Alpine,8.75,9.545512684,5.977751313,0.1513595733,,,,0.7955126837
constructor,constrained_hybrid,audi,Audi,-5,10.16602267,7.699292972,0.1357832859,,,,15.16602267
constructor,constrained_hybrid,haas,Haas F1 Team,10.75,7.099789635,5.375936098,0.1587759837,,,,-3.650210365
constructor,constrained_hybrid,williams,Williams,13.33333333,6.330420874,4.850937314,0.1670384665,,,,-7.002912459
constructor,constrained_hybrid,aston_martin,Aston Martin,7.75,2.915912053,4.857068435,0.174206342,,,,-4.834087947
constructor,constrained_hybrid,cadillac,Cadillac,4,2.989745325,5.660505397,0.1571035337,,,,-1.010254675
constructor,constrained_form_price,mercedes,Mercedes,21.25,16.39444444,1.222222222,0,15.17222222,,,-4.855555556
constructor,constrained_form_price,ferrari,Ferrari,17.75,12.46701389,0.4354482323,0,16.54340278,,,-5.282986111
constructor,constrained_form_price,red_bull,Red Bull Racing,6.25,16.42764706,0,0,20.07823529,,,10.17764706
constructor,constrained_form_price,mclaren,McLaren,17.75,15.90277778,0.5744949495,0,16.86111111,,,-1.847222222
constructor,constrained_form_price,rb,Racing Bulls,6.75,8.515993266,0.5962656872,0,17.42340067,,,1.765993266
constructor,constrained_form_price,alpine,Alpine,8.75,11.8493266,0.4520967248,0,17.90993266,,,3.099326599
constructor,constrained_form_price,audi,Audi,-5,7.842492438,4.265039215,0.03233405167,10.96352138,,,12.84249244
constructor,constrained_form_price,haas,Haas F1 Team,10.75,6.440816327,0,0,17.7122449,,,-4.309183673
constructor,constrained_form_price,williams,Williams,13.33333333,9.6,0,0,17.6,,,-3.733333333
constructor,constrained_form_price,aston_martin,Aston Martin,7.75,3.252988048,0,0,17.89143426,,,-4.497011952
constructor,constrained_form_price,cadillac,Cadillac,4,1.63960396,0,0,18.03564356,,,-2.36039604
constructor,ridge_form_price,mercedes,Mercedes,21.25,13.33763753,4.972297332,0.02643659347,6.495895371,,10,-7.912362474
constructor,ridge_form_price,ferrari,Ferrari,17.75,11.77163669,4.744408324,0.03204735608,6.961876985,,10,-5.978363306
constructor,ridge_form_price,red_bull,Red Bull Racing,6.25,14.03760901,4.852444631,0.04916762901,8.221623583,,10,7.787609013
constructor,ridge_form_price,mclaren,McLaren,17.75,12.69100019,4.818696386,0.03830243185,6.673279501,,10,-5.058999813
constructor,ridge_form_price,rb,Racing Bulls,6.75,9.774512175,5.339321984,0.04381902165,6.796504528,,10,3.024512175
constructor,ridge_form_price,alpine,Alpine,8.75,10.63693491,5.110283033,0.0408721181,7.170802043,,10,1.886934909
constructor,ridge_form_price,audi,Audi,-5,9.54138081,7.388654935,0.04469914917,4.915868216,,10,14.54138081
constructor,ridge_form_price,haas,Haas F1 Team,10.75,7.620011448,4.464017346,0.04407194695,7.363121366,,10,-3.129988552
constructor,ridge_form_price,williams,Williams,13.33333333,8.621881472,4.552590558,0.04997077994,6.648936391,,10,-4.711451862
constructor,ridge_form_price,aston_martin,Aston Martin,7.75,4.96946865,4.084106791,0.04904164029,7.875042179,,10,-2.78053135
constructor,ridge_form_price,cadillac,Cadillac,4,4.613671209,4.6127375,0.04179385273,7.825721259,,10,0.6136712087
driver,constant,antonelli,Kimi Antonelli,10,5.015873016,5.015873016,,,,,-4.984126984
driver,constant,hamilton,Lewis Hamilton,7,5.158730159,5.158730159,,,,,-1.841269841
driver,constant,max_verstappen,Max Verstappen,6.5,5.182539683,5.182539683,,,,,-1.317460317
driver,constant,russell,George Russell,11.25,4.956349206,4.956349206,,,,,-6.293650794
driver,constant,leclerc,Charles Leclerc,10.75,4.98015873,4.98015873,,,,,-5.76984127
driver,constant,norris,Lando Norris,10.25,5.003968254,5.003968254,,,,,-5.246031746
driver,constant,hadjar,Isack Hadjar,-0.25,5.503968254,5.503968254,,,,,5.753968254
driver,constant,piastri,Oscar Piastri,7.5,5.134920635,5.134920635,,,,,-2.365079365
driver,constant,gasly,Pierre Gasly,4.333333333,5.285714286,5.285714286,,,,,0.9523809524
driver,constant,lawson,Liam Lawson,8.75,5.075396825,5.075396825,,,,,-3.674603175
driver,constant,arvid_lindblad,Arvid Lindblad,-2,5.587301587,5.587301587,,,,,7.587301587
driver,constant,ocon,Esteban Ocon,6.75,5.170634921,5.170634921,,,,,-1.579365079
driver,constant,bortoleto,Gabriel Bortoleto,0.25,5.48015873,5.48015873,,,,,5.23015873
driver,constant,colapinto,Franco Colapinto,5.5,5.23015873,5.23015873,,,,,-0.2698412698
driver,constant,sainz,Carlos Sainz,8,5.111111111,5.111111111,,,,,-2.888888889
driver,constant,albon,Alexander Albon,7.75,5.123015873,5.123015873,,,,,-2.626984127
driver,constant,alonso,Fernando Alonso,2.5,5.373015873,5.373015873,,,,,2.873015873
driver,constant,bearman,Oliver Bearman,4,5.301587302,5.301587302,,,,,1.301587302
driver,constant,hulkenberg,Nico Hulkenberg,-2.75,5.623015873,5.623015873,,,,,8.373015873
driver,constant,perez,Sergio Perez,3.75,5.313492063,5.313492063,,,,,1.563492063
driver,constant,bottas,Valtteri Bottas,0.25,5.48015873,5.48015873,,,,,5.23015873
driver,constant,stroll,Lance Stroll,5.25,5.242063492,5.242063492,,,,,-0.007936507937
driver,proportional,antonelli,Kimi Antonelli,10,10.60457657,,0.3172309231,,,,0.6045765734
driver,proportional,hamilton,Lewis Hamilton,7,9.370885035,,0.3263492301,,,,2.370885035
driver,proportional,max_verstappen,Max Verstappen,6.5,8.3914745,,0.3227490192,,,,1.8914745
driver,proportional,russell,George Russell,11.25,6.907654977,,0.293942765,,,,-4.342345023
driver,proportional,leclerc,Charles Leclerc,10.75,6.198668235,,0.2951746778,,,,-4.551331765
driver,proportional,norris,Lando Norris,10.25,5.895808039,,0.2969111962,,,,-4.354191961
driver,proportional,hadjar,Isack Hadjar,-0.25,4.97365539,,0.3284489408,,,,5.22365539
driver,proportional,piastri,Oscar Piastri,7.5,4.134968287,,0.3046818738,,,,-3.365031713
driver,proportional,gasly,Pierre Gasly,4.333333333,3.744419557,,0.3120349631,,,,-0.5889137761
driver,proportional,lawson,Liam Lawson,8.75,2.600055307,,0.3033397858,,,,-6.149944693
driver,proportional,arvid_lindblad,Arvid Lindblad,-2,2.705025687,,0.320935251,,,,4.705025687
