entity_type,model,method,alpha,gamma,delta,eta,ridge_penalty
constructor,constant,full_sample,9.939393939,0,0,0,
constructor,proportional,full_sample,0,0.2602797856,0,0,
constructor,hybrid,full_sample,5.89737394,0.1516619215,0,0,
constructor,price_only,full_sample,0.3393939394,0,17.6,0,
constructor,form_price,full_sample,-1.867153575,-0.1086528982,26.95423844,0,
constructor,constrained_proportional,full_sample,0,0.2602797856,0,0,
constructor,constrained_hybrid,full_sample,5.89737394,0.1516619215,0,0,
constructor,constrained_form_price,full_sample,0.3393939394,0,17.6,0,
constructor,ridge_form_price,full_sample,4.823545088,0.04250062998,7.302428223,0,10
constructor,huber_hybrid,robust_sensitivity,7.241619503,0.1542744743,0,0,
driver,constant,full_sample,5.242424242,0,0,0,
driver,proportional,full_sample,0,0.3133811353,0,0,
driver,hybrid,full_sample,3.646214403,0.1693922007,0,0,
driver,price_only,full_sample,0.6855953422,0,8.717411809,0,
driver,form_price,full_sample,-0.8186376953,-0.1356926269,14.04119448,0,
driver,interaction,full_sample,-0.5668008124,-0.231630446,12.50244938,0.1780371016,
driver,constrained_proportional,full_sample,0,0.3133811353,0,0,
driver,constrained_hybrid,full_sample,3.646214403,0.1693922007,0,0,
driver,constrained_form_price,full_sample,0.6855953422,0,8.717411809,0,
driver,ridge_form_price,full_sample,0.3615796888,-0.05122066201,10.26061837,0,1
driver,huber_hybrid,robust_sensitivity,3.979222357,0.1662423182,0,0,
