entity_type,model,loao_observations,loao_mae,loao_rmse,loao_bias,loao_spearman,loao_r_squared,loao_negative_predictions,coefficient_stability_mean_std,selected_pooled_model,production_candidate,evaluation_scope,leave_one_sprint_mae,leave_one_sprint_rmse,leave_one_sprint_bias,shrinkage_k
constructor,constrained_form_price,11,4.979195295,5.988160204,0.09088822496,0.5056960728,0.2835821379,0,1.132723541,True,D_constrained_form_and_price,leave_one_asset_out_aggregated_bonus,,,,
constructor,price_only,11,5.112211757,6.013186264,-0.133369051,0.5056960728,0.2775814362,0,1.54587289,False,,leave_one_asset_out_aggregated_bonus,,,,
constructor,ridge_form_price,11,5.22052777,6.387837506,-0.1561444765,0.4054680223,0.1847565767,0,0.5600291375,False,,leave_one_asset_out_aggregated_bonus,,,,
constructor,form_price,11,5.395835324,6.758280499,-0.2350054376,0.3507981766,0.08745979066,0,2.761189141,False,,leave_one_asset_out_aggregated_bonus,,,,
constructor,constrained_hybrid,11,5.545700594,6.728098752,-0.3191322642,0.2915725105,0.0955922018,0,0.3793560276,False,C_constrained_hybrid,leave_one_asset_out_aggregated_bonus,,,,
constructor,hybrid,11,5.545700594,6.728098752,-0.3191322642,0.2915725105,0.0955922018,0,0.3793560276,False,,leave_one_asset_out_aggregated_bonus,,,,
constructor,constrained_proportional,11,5.970638805,6.72915317,-2.464932523,0.497716895,0.09530870438,0,0.01267995728,False,,leave_one_asset_out_aggregated_bonus,,,,
constructor,constant,11,6.227272727,7.782209055,3.229739708e-16,-1,-0.21,0,0.7074735505,False,A_constant_bonus,leave_one_asset_out_aggregated_bonus,,,,
constructor,proportional,11,6.658324033,7.452140426,-3.152617751,0.5102518933,-0.1095366287,2,0.01267995728,False,B_proportional_bonus,leave_one_asset_out_aggregated_bonus,,,,
driver,constrained_form_price,22,2.823445724,3.460976118,-0.008983021921,0.5427845458,0.2698179031,0,0.2729665432,True,D_constrained_form_and_price,leave_one_asset_out_aggregated_bonus,,,,
driver,price_only,22,2.827247139,3.466260464,-0.01278443655,0.5427845458,0.2675864627,0,0.4213802652,False,,leave_one_asset_out_aggregated_bonus,,,,
driver,ridge_form_price,22,2.879283889,3.517219974,-0.04834271532,0.5066365636,0.245892887,0,0.4582501591,False,,leave_one_asset_out_aggregated_bonus,,,,
driver,form_price,22,2.917613241,3.565759209,-0.07213789156,0.4608867735,0.2249352234,0,0.6854251367,False,,leave_one_asset_out_aggregated_bonus,,,,
driver,interaction,22,2.960531144,3.66309071,-0.02788282076,0.4484609046,0.1820451684,0,0.5293419835,False,,leave_one_asset_out_aggregated_bonus,,,,
driver,constrained_hybrid,22,3.13872419,3.770796167,-0.04141300987,0.4196554813,0.1332375483,0,0.1170041573,False,C_constrained_hybrid,leave_one_asset_out_aggregated_bonus,,,,
driver,hybrid,22,3.13872419,3.770796167,-0.04141300987,0.4196554813,0.1332375483,0,0.1170041573,False,,leave_one_asset_out_aggregated_bonus,,,,
driver,constant,22,3.533189033,4.243130592,-1.897472078e-15,-1,-0.09750566893,0,0.1928695724,False,A_constant_bonus,leave_one_asset_out_aggregated_bonus,,,,
driver,constrained_proportional,22,3.644756988,4.118995176,-1.862975971,0.5514036603,-0.03422859712,0,0.01105704671,False,,leave_one_asset_out_aggregated_bonus,,,,
driver,proportional,22,4.098432873,4.657718088,-2.332916857,0.5360067991,-0.3224533875,4,0.01105704671,False,B_proportional_bonus,leave_one_asset_out_aggregated_bonus,,,,
constructor,shrunk_asset_residual,,,,,,,0,,False,E_pooled_plus_shrunk_asset_residual,leave_one_sprint_out_event_bonus,7.076685524,10.24600135,0.1471482633,1000000
driver,shrunk_asset_residual,,,,,,,0,,False,E_pooled_plus_shrunk_asset_residual,leave_one_sprint_out_event_bonus,4.084485213,5.575109147,0.02707763088,4
