entity_type,bin_type,bin,asset_count,mean_current_price,mean_normal_form,mean_observed_bonus,mean_predicted_bonus,mean_effective_multiplier,pooled_prediction_mae,pooled_prediction_bias
constructor,price,low,4,6.875,0.2202380952,4.375,4.339394082,1.117978351,5.10530303,-0.03560606061
constructor,price,middle,3,14.9,21.04761905,9.611111111,9.939391495,1.627751768,2.590909091,0.3282828283
constructor,price,high,4,30.275,57.28571429,15.75,15.53939478,1.277366279,4.45530303,-0.2106060606
constructor,form,low,4,8.425,-2.107142857,8.958333333,5.539406767,1.327801002,3.418939394,-3.418939394
constructor,form,middle,3,12.83333333,24.15079365,3.5,8.339374582,1.347988234,4.839393939,4.839393939
constructor,form,high,4,30.275,57.28571429,15.75,15.53939478,1.277366279,4.45530303,-0.2106060606
driver,price,low,8,5.025,-2.464285714,2.625,2.626345694,2.022093492,2.5625,-0.1562976968
driver,price,middle,7,11.1,8.707482993,4.44047619,4.88008826,1.821261513,3.390669979,1.000071048
driver,price,high,7,25.8,23.7244898,9.035714286,8.624991732,1.387996462,1.771383493,-0.8214451084
driver,form,low,8,5.3,-3.089285714,3.59375,3.090419261,2.30216788,2.530797684,-1.025986199
driver,form,middle,7,12.2,9.197278912,4.44047619,4.959896468,1.549621199,2.455320853,1.000071048
driver,form,high,7,24.38571429,23.94897959,7.928571429,8.014813733,1.339551761,2.742963837,0.1724846084
