entity_type,model,strength_definition,asset_penalty,event_penalty,observations,mae,rmse,bias,spearman,mae_low_form_third,mae_middle_form_third,mae_high_form_third
constructor,constant,blend_form_0.75_price_0.25,,,43,7.775876498,11.30403985,0.01741983791,-0.252554456,7.217028237,6.770714962,9.165246212
constructor,full_partial_pooling,blend_form_0.75_price_0.25,16,1,43,6.945782322,10.25844972,0.02837311748,0.4052826193,6.874853253,5.963486421,7.976841959
constructor,personal_mean,blend_form_0.75_price_0.25,,,43,8.534883721,11.01015505,-4.131062417e-16,0.3511227689,8.878787879,8.208333333,8.625
constructor,shrunk_personal_mean,blend_form_0.75_price_0.25,,,43,7.192436139,10.39967173,-0.007010699504,0.3867961766,7.323728016,6.106394712,8.1882144
constructor,strength_only,blend_form_0.75_price_0.25,,,43,7.003443577,10.40313137,0.002138660588,0.3741494113,6.840364355,6.044192243,8.074811875
driver,constant,z_form,,,85,4.578247549,6.230739747,0.009211601307,-0.2619380238,4.254650298,4.435555556,4.972873264
driver,full_partial_pooling,z_form,4,16,85,4.09770406,5.610777255,0.01103247197,0.437024698,3.896894726,4.124753685,4.252279708
driver,personal_mean,z_form,,,85,4.760784314,5.991497243,-3.134747364e-17,0.412776492,4.476190476,5.04,4.791666667
driver,shrunk_personal_mean,z_form,,,85,4.085081393,5.624265435,-0.008136371968,0.4225246634,3.91385582,4.082567436,4.236867799
driver,strength_only,z_form,,,85,4.356294376,5.832359872,0.009595460284,0.2968500825,4.231522635,4.275261778,4.528776367
