entity,entity_id,current_price,normal_ev,form_percentile,price_percentile,selected_strength,group_bonus,final_sprint_bonus
Alpine,alpine,18.8,26.4545454545,0.545454545455,0.636363636364,0.568181818182,10.1517813397,10.1517813397
Aston Martin,aston_martin,5.7,-8.09090909091,0.0909090909091,0.181818181818,0.113636363636,2.78319451249,2.78319451249
Audi,audi,6.8,12.6,0.363636363636,0.272727272727,0.340909090909,6.46748792609,6.46748792609
Cadillac,cadillac,3,-6.72727272727,0.181818181818,0.0909090909091,0.159090909091,3.52005319521,3.52005319521
Ferrari,ferrari,26.6,63.1818181818,0.909090909091,0.727272727273,0.863636363636,14.9413627774,14.9413627774
Haas F1 Team,haas,12,15.7272727273,0.454545454545,0.363636363636,0.431818181818,7.94120529152,7.94120529152
McLaren,mclaren,31,42.4545454545,0.727272727273,0.909090909091,0.772727272727,13.4676454119,13.4676454119
Mercedes,mercedes,32.6,72.4545454545,1,1,1,17.1519388255,17.1519388255
Racing Bulls,rb,12.9,28.8181818182,0.636363636364,0.454545454545,0.590909090909,10.520210681,10.520210681
Red Bull Racing,red_bull,30.9,43.3636363636,0.818181818182,0.818181818182,0.818181818182,14.2045040946,14.2045040946
Williams,williams,13,9.2,0.272727272727,0.545454545455,0.340909090909,6.46748792609,6.46748792609
