entity,entity_id,observed_sprint_count,observed_mean_sprint_bonus,observed_median_sprint_bonus,selected_strength,group_bonus,personal_residual_mean,personal_mean_noise_variance,tau_asset_squared,within_residual_variance,empirical_bayes_weight,personal_mean_contribution,group_contribution,final_sprint_bonus
Alexander Albon,albon,4,7.75,6.5,-1.06731853233,2.68167826782,5.06832173218,6.5946969697,4.71034856586,26.3787878788,0.416658964446,3.22910697445,1.56433297777,4.79343995223
Arvid Lindblad,arvid_lindblad,4,-2,-1,-0.284091937445,4.5057206813,-6.5057206813,6.5946969697,4.71034856586,26.3787878788,0.416658964446,-0.833317928892,2.62837176815,1.79505383925
Carlos Sainz,sainz,2,8,8,-0.401620785016,4.23200984949,3.76799015051,13.1893939394,4.71034856586,26.3787878788,0.263151750059,2.10521400047,3.11834905133,5.2235630518
Charles Leclerc,leclerc,4,10.75,8,1.28397615251,8.15756642046,2.59243357954,6.5946969697,4.71034856586,26.3787878788,0.416658964446,4.47908386779,4.75864324331,9.2377271111
Esteban Ocon,ocon,4,6.75,7.5,-0.114527416904,4.90061646154,1.84938353846,6.5946969697,4.71034856586,26.3787878788,0.416658964446,2.81244801001,2.85873068153,5.67117869154
Fernando Alonso,alonso,4,2.5,4.5,-0.905828512762,3.05776948709,-0.55776948709,6.5946969697,4.71034856586,26.3787878788,0.416658964446,1.04164741111,1.78372241909,2.8253698302
Franco Colapinto,colapinto,4,5.5,7.5,0.0316210508003,5.24097901498,0.25902098502,6.5946969697,4.71034856586,26.3787878788,0.416658964446,2.29162430445,3.05727812592,5.34890243037
Gabriel Bortoleto,bortoleto,4,0.25,2.5,-0.34868794527,4.35528419359,-4.10528419359,6.5946969697,4.71034856586,26.3787878788,0.416658964446,0.104164741111,2.54061599162,2.64478073273
George Russell,russell,4,11.25,11,1.18627469067,7.93003123279,3.31996876721,6.5946969697,4.71034856586,26.3787878788,0.416658964446,4.68741335001,4.62591263132,9.31332598133
Isack Hadjar,hadjar,4,-0.25,3,0.256899628091,5.76562626587,-6.01562626587,6.5946969697,4.71034856586,26.3787878788,0.416658964446,-0.104164741111,3.36332639655,3.25916165544
Kimi Antonelli,antonelli,4,10,11.5,2.27552487263,10.4667665068,-0.466766506803,6.5946969697,4.71034856586,26.3787878788,0.416658964446,4.16658964446,6.10569441298,10.2722840574
Lance Stroll,stroll,4,5.25,4,-1.68098060666,1.25253163457,3.99746836543,6.5946969697,4.71034856586,26.3787878788,0.416658964446,2.18745956334,0.730653100775,2.91811266412
Lando Norris,norris,4,10.25,11,0.636401174063,6.64944063116,3.60055936884,6.5946969697,4.71034856586,26.3787878788,0.416658964446,4.27075438557,3.87889158364,8.14964596921
Lewis Hamilton,hamilton,4,7,5,1.68608630122,9.09403355645,-2.09403355645,6.5946969697,4.71034856586,26.3787878788,0.416658964446,2.91661275112,5.30492295218,8.2215357033
Liam Lawson,lawson,4,8.75,8.5,-0.114527416904,4.90061646154,3.84938353846,6.5946969697,4.71034856586,26.3787878788,0.416658964446,3.6457659389,2.85873068153,6.50449662043
Max Verstappen,max_verstappen,4,6.5,4.5,1.11279673177,7.75890972802,-1.25890972802,6.5946969697,4.71034856586,26.3787878788,0.416658964446,2.7082832689,4.52609043552,7.23437370442
Nico Hulkenberg,hulkenberg,4,-2.75,-2,-1.03502052841,2.75689651167,-5.50689651167,6.5946969697,4.71034856586,26.3787878788,0.416658964446,-1.14581215223,1.60821086603,0.462398713808
Oliver Bearman,bearman,4,4,4,-0.43750745603,4.14843402299,-0.148434022987,6.5946969697,4.71034856586,26.3787878788,0.416658964446,1.66663585778,2.4199517989,4.08658765668
Oscar Piastri,piastri,4,7.5,7.5,0.184229119287,5.59638521719,1.90361478281,6.5946969697,4.71034856586,26.3787878788,0.416658964446,3.12494223334,3.26460114796,6.3895433813
Pierre Gasly,gasly,3,4.33333333333,5,0.0405030018762,5.26166403204,-0.928330698707,8.79292929293,4.71034856586,26.3787878788,0.348830011136,1.51159671492,3.42623770915,4.93783442407
Sergio Perez,perez,4,3.75,4.5,-0.946201017653,2.96374668227,0.786253317728,6.5946969697,4.71034856586,26.3787878788,0.416658964446,1.56247111667,1.72887505876,3.29134617543
Valtteri Bottas,bottas,4,0.25,1.5,-1.35800056754,2.00471407312,-1.75471407312,6.5946969697,4.71034856586,26.3787878788,0.416658964446,0.104164741111,1.1694319834,1.27359672452
