entity,entity_type,entity_id,current_price,normal_ev,form_percentile,price_percentile,observed_sprint_count,observed_mean_sprint_bonus,observed_median_sprint_bonus,selected_strength_definition,selected_strength,group_bonus,empirical_bayes_weight,personal_mean_contribution,group_contribution,final_sprint_bonus,normal_weekend_ev,sprint_weekend_ev,absolute_sprint_uplift,effective_multiplier,effective_multiplier_status,constant_bonus_candidate,strength_only_candidate,personal_mean_candidate,shrunk_personal_mean_candidate,full_partial_pooling_candidate,future_event_effect
Mercedes,constructor,mercedes,32.6,72.4545454545,1,1,4,21.25,22,blend_form_0.75_price_0.25,1,17.1519388255,,,,17.1519388255,72.4545454545,89.6064842801,17.1519388255,1.23672688467,defined,9.86046511628,17.1519388255,21.25,18.4087965284,17.96274268,0
Ferrari,constructor,ferrari,26.6,63.1818181818,0.909090909091,0.727272727273,4,17.75,13,blend_form_0.75_price_0.25,0.863636363636,14.9413627774,,,,14.9413627774,63.1818181818,78.1231809592,14.9413627774,1.23648200079,defined,9.86046511628,14.9413627774,17.75,15.8027597106,15.51183948,0
Red Bull Racing,constructor,red_bull,30.9,43.3636363636,0.818181818182,0.818181818182,4,6.25,7.5,blend_form_0.75_price_0.25,0.818181818182,14.2045040946,,,,14.2045040946,43.3636363636,57.5681404583,14.2045040946,1.32756718038,defined,9.86046511628,14.2045040946,6.25,11.7648919662,12.62820508,0
McLaren,constructor,mclaren,31,42.4545454545,0.727272727273,0.909090909091,4,17.75,18.5,blend_form_0.75_price_0.25,0.772727272727,13.4676454119,,,,13.4676454119,42.4545454545,55.9221908665,13.4676454119,1.31722505253,defined,9.86046511628,13.4676454119,17.75,14.7810251106,14.34457068,0
Racing Bulls,constructor,rb,12.9,28.8181818182,0.636363636364,0.454545454545,4,6.75,10,blend_form_0.75_price_0.25,0.590909090909,10.520210681,,,,10.520210681,28.8181818182,39.3383924992,10.520210681,1.36505462931,defined,9.86046511628,10.520210681,6.75,9.36390331168,9.81003308,0
Alpine,constructor,alpine,18.8,26.4545454545,0.545454545455,0.636363636364,4,8.75,10,blend_form_0.75_price_0.25,0.568181818182,10.1517813397,,,,10.1517813397,26.4545454545,36.6063267942,10.1517813397,1.38374431181,defined,9.86046511628,10.1517813397,8.75,9.72186104333,9.91821588,0
Haas F1 Team,constructor,haas,12,15.7272727273,0.454545454545,0.363636363636,4,10.75,12,blend_form_0.75_price_0.25,0.431818181818,7.94120529152,,,,7.94120529152,15.7272727273,23.6684780188,7.94120529152,1.50493212836,defined,9.86046511628,7.94120529152,10.75,8.80265052501,8.567312679,0
Audi,constructor,audi,6.8,12.6,0.363636363636,0.272727272727,4,-5,2,blend_form_0.75_price_0.25,0.340909090909,6.46748792609,,,,6.46748792609,12.6,19.0674879261,6.46748792609,1.51329269255,defined,9.86046511628,6.46748792609,-5,2.95045879461,4.250043878,0
Williams,constructor,williams,13,9.2,0.272727272727,0.545454545455,3,13.3333333333,9,blend_form_0.75_price_0.25,0.340909090909,6.46748792609,,,,6.46748792609,9.2,15.6674879261,6.46748792609,1.70298781805,defined,9.86046511628,6.46748792609,13.3333333333,8.17792797432,7.710140246,0
Cadillac,constructor,cadillac,3,-6.72727272727,0.181818181818,0.0909090909091,4,4,3,blend_form_0.75_price_0.25,0.159090909091,3.52005319521,,,,3.52005319521,-6.72727272727,-3.20721953206,3.52005319521,,undefined,9.86046511628,3.52005319521,4,3.66725081206,3.715506276,0
Aston Martin,constructor,aston_martin,5.7,-8.09090909091,0.0909090909091,0.181818181818,4,7.75,8.5,blend_form_0.75_price_0.25,0.113636363636,2.78319451249,,,,2.78319451249,-8.09090909091,-5.30771457842,2.78319451249,,undefined,9.86046511628,2.78319451249,7.75,4.30649235266,3.881871876,0
Kimi Antonelli,driver,antonelli,25.7,35.3636363636,1,0.863636363636,4,10,11.5,z_form,2.27552487263,10.4667665068,0.416658964446,4.16658964446,6.10569441298,10.2722840574,35.3636363636,45.6359204211,10.2722840574,1.2904758988,defined,5.18823529412,10.4667665068,10,10.2722840574,10.24209651,0
Lewis Hamilton,driver,hamilton,25,28.7272727273,0.954545454545,0.818181818182,4,7,5,z_form,1.68608630122,9.09403355645,0.416658964446,2.91661275112,5.30492295218,8.2215357033,28.7272727273,36.9488084306,8.2215357033,1.28619269853,defined,5.18823529412,9.09403355645,7,8.2215357033,8.05823146,0
Charles Leclerc,driver,leclerc,23.9,24.2,0.909090909091,0.727272727273,4,10.75,8,z_form,1.28397615251,8.15756642046,0.416658964446,4.47908386779,4.75864324331,9.2377271111,24.2,33.4377271111,9.2377271111,1.38172426079,defined,5.18823529412,8.15756642046,10.75,9.2377271111,9.466704345,0
George Russell,driver,russell,27.9,23.1,0.863636363636,1,4,11.25,11,z_form,1.18627469067,7.93003123279,0.416658964446,4.68741335001,4.62591263132,9.31332598133,23.1,32.4133259813,9.31332598133,1.40317428491,defined,5.18823529412,7.93003123279,11.25,9.31332598133,9.603351371,0
Max Verstappen,driver,max_verstappen,27.6,22.2727272727,0.818181818182,0.954545454545,4,6.5,4.5,z_form,1.11279673177,7.75890972802,0.416658964446,2.7082832689,4.52609043552,7.23437370442,22.2727272727,29.5071009771,7.23437370442,1.3248086153,defined,5.18823529412,7.75890972802,6.5,7.23437370442,7.143102441,0
Lando Norris,driver,norris,26.1,16.9090909091,0.772727272727,0.909090909091,4,10.25,11,z_form,0.636401174063,6.64944063116,0.416658964446,4.27075438557,3.87889158364,8.14964596921,16.9090909091,25.0587368783,8.14964596921,1.48196831001,defined,5.18823529412,6.64944063116,10.25,8.14964596921,8.465389593,0
Oscar Piastri,driver,piastri,24.4,11.8181818182,0.681818181818,0.772727272727,4,7.5,7.5,z_form,0.184229119287,5.59638521719,0.416658964446,3.12494223334,3.26460114796,6.3895433813,11.8181818182,18.2077251995,6.3895433813,1.54065367073,defined,5.18823529412,5.59638521719,7.5,6.3895433813,6.565780789,0
Isack Hadjar,driver,hadjar,14.5,12.6363636364,0.727272727273,0.681818181818,4,-0.25,3,z_form,0.256899628091,5.76562626587,0.416658964446,-0.104164741111,3.36332639655,3.25916165544,12.6363636364,15.8955252918,3.25916165544,1.2579192677,defined,5.18823529412,5.76562626587,-0.25,3.25916165544,2.775092918,0
Franco Colapinto,driver,colapinto,11.2,10.1,0.590909090909,0.590909090909,4,5.5,7.5,z_form,0.0316210508003,5.24097901498,0.416658964446,2.29162430445,3.05727812592,5.34890243037,10.1,15.4489024304,5.34890243037,1.52959430004,defined,5.18823529412,5.24097901498,5.5,5.34890243037,5.388725318,0
Pierre Gasly,driver,gasly,13,10.2,0.636363636364,0.636363636364,3,4.33333333333,5,z_form,0.0405030018762,5.26166403204,0.348830011136,1.51159671492,3.42623770915,4.93783442407,10.2,15.1378344241,4.93783442407,1.48410141412,defined,5.18823529412,5.26166403204,4.33333333333,4.93783442407,5.087686893,0
Liam Lawson,driver,lawson,10.3,8.45454545455,0.522727272727,0.5,4,8.75,8.5,z_form,-0.114527416904,4.90061646154,0.416658964446,3.6457659389,2.85873068153,6.50449662043,8.45454545455,14.959042075,6.50449662043,1.76934906263,defined,5.18823529412,4.90061646154,8.75,6.50449662043,6.844164258,0
Esteban Ocon,driver,ocon,10.7,8.45454545455,0.522727272727,0.545454545455,4,6.75,7.5,z_form,-0.114527416904,4.90061646154,0.416658964446,2.81244801001,2.85873068153,5.67117869154,8.45454545455,14.1257241461,5.67117869154,1.67078457642,defined,5.18823529412,4.90061646154,6.75,5.67117869154,5.844164258,0
Carlos Sainz,driver,sainz,10,5.22222222222,0.363636363636,0.454545454545,2,8,8,z_form,-0.401620785016,4.23200984949,0.263151750059,2.10521400047,3.11834905133,5.2235630518,5.22222222222,10.445785274,5.2235630518,2.0002567546,defined,5.18823529412,4.23200984949,8,5.2235630518,5.442273053,0
Oliver Bearman,driver,bearman,7.6,4.81818181818,0.318181818182,0.318181818182,4,4,4,z_form,-0.43750745603,4.14843402299,0.416658964446,1.66663585778,2.4199517989,4.08658765668,4.81818181818,8.90476947486,4.08658765668,1.84815970233,defined,5.18823529412,4.14843402299,4,4.08658765668,4.094443683,0
Gabriel Bortoleto,driver,bortoleto,7.8,5.81818181818,0.409090909091,0.363636363636,4,0.25,2.5,z_form,-0.34868794527,4.35528419359,0.416658964446,0.104164741111,2.54061599162,2.64478073273,5.81818181818,8.46296255091,2.64478073273,1.45457168844,defined,5.18823529412,4.35528419359,0.25,2.64478073273,2.322491841,0
