entity_type,entity_id,entity,strength,group_bonus,asset_effect_u,personalised_bonus,asset_effects_centred,asset_penalty
constructor,williams,Williams,0.3409090909,6.562554847,1.147585399,7.710140246,True,16
constructor,aston_martin,Aston Martin,0.1136363636,2.914839845,0.967032031,3.881871876,True,16
constructor,mclaren,McLaren,0.7727272727,13.49321335,0.8513573296,14.34457068,True,16
constructor,mercedes,Mercedes,1,17.14092835,0.8218143291,17.96274268,True,16
constructor,ferrari,Ferrari,0.8636363636,14.95229935,0.5595401294,15.51183948,True,16
constructor,haas,Haas F1 Team,0.4318181818,8.021640848,0.5456718304,8.567312679,True,16
constructor,cadillac,Cadillac,0.1590909091,3.644382845,0.07112343094,3.715506276,True,16
constructor,alpine,Alpine,0.5681818182,10.21026985,-0.2920539699,9.91821588,True,16
constructor,rb,Racing Bulls,0.5909090909,10.57504135,-0.76500827,9.81003308,True,16
constructor,red_bull,Red Bull Racing,0.8181818182,14.22275635,-1.59455127,12.62820508,True,16
constructor,audi,Audi,0.3409090909,6.562554847,-2.312510969,4.250043878,True,16
driver,albon,Alexander Albon,-1.067318532,2.727477127,2.511261437,5.238738563,True,4
driver,stroll,Lance Stroll,-1.680980607,1.303538944,1.973230528,3.276769472,True,4
driver,lawson,Liam Lawson,-0.1145274169,4.938328516,1.905835742,6.844164258,True,4
driver,norris,Lando Norris,0.6364011741,6.680779187,1.784610407,8.465389593,True,4
driver,russell,George Russell,1.186274691,7.956702742,1.646648629,9.603351371,True,4
driver,leclerc,Charles Leclerc,1.283976153,8.18340869,1.283295655,9.466704345,True,4
driver,sainz,Carlos Sainz,-0.401620785,4.272158606,1.170114447,5.442273053,True,4
driver,piastri,Oscar Piastri,0.1842291193,5.631561578,0.9342192108,6.565780789,True,4
driver,ocon,Esteban Ocon,-0.1145274169,4.938328516,0.9058357421,5.844164258,True,4
driver,perez,Sergio Perez,-0.9462010177,3.008517558,0.3707412212,3.379258779,True,4
driver,colapinto,Franco Colapinto,0.0316210508,5.277450636,0.1112746822,5.388725318,True,4
driver,bearman,Oliver Bearman,-0.437507456,4.188887367,-0.09444368349,4.094443683,True,4
driver,gasly,Pierre Gasly,0.04050300188,5.298060267,-0.2103733737,5.087686893,True,4
driver,antonelli,Kimi Antonelli,2.275524873,10.48419302,-0.2420965084,10.24209651,True,4
driver,alonso,Fernando Alonso,-0.9058285128,3.102197701,-0.3010988506,2.801098851,True,4
driver,max_verstappen,Max Verstappen,1.112796732,7.786204881,-0.6431024406,7.143102441,True,4
driver,bottas,Valtteri Bottas,-1.358000568,2.052980093,-0.9014900465,1.151490046,True,4
driver,hamilton,Lewis Hamilton,1.686086301,9.11646292,-1.05823146,8.05823146,True,4
driver,bortoleto,Gabriel Bortoleto,-0.3486879453,4.394983683,-2.072491841,2.322491841,True,4
driver,hulkenberg,Nico Hulkenberg,-1.035020528,2.802421242,-2.776210621,0.02621062086,True,4
driver,hadjar,Isack Hadjar,0.2568996281,5.800185837,-3.025092918,2.775092918,True,4
driver,arvid_lindblad,Arvid Lindblad,-0.2840919374,4.544871913,-3.272435956,1.272435956,True,4
