entity_type,entity_id,entity,round,event_name,observed_sprint_bonus,observation_valid,group_prediction,raw_personal_mean,shrunk_personal_mean,common_event_effect,asset_effect_u,final_candidate_bonus
constructor,aston_martin,Aston Martin,2,Chinese Grand Prix,11,True,2.914839845,7.75,4.396830914,4.474959846,0.967032031,3.881871876
constructor,aston_martin,Aston Martin,4,Miami Grand Prix,20,True,2.914839845,7.75,4.396830914,-3.44170682,0.967032031,3.881871876
constructor,aston_martin,Aston Martin,5,Canadian Grand Prix,-6,True,2.914839845,7.75,4.396830914,-2.525040154,0.967032031,3.881871876
constructor,aston_martin,Aston Martin,9,British Grand Prix,6,True,2.914839845,7.75,4.396830914,1.491787128,0.967032031,3.881871876
constructor,audi,Audi,2,Chinese Grand Prix,3,True,6.562554847,-5,3.018597155,4.474959846,-2.312510969,4.250043878
constructor,audi,Audi,4,Miami Grand Prix,-30,True,6.562554847,-5,3.018597155,-3.44170682,-2.312510969,4.250043878
constructor,audi,Audi,5,Canadian Grand Prix,1,True,6.562554847,-5,3.018597155,-2.525040154,-2.312510969,4.250043878
constructor,audi,Audi,9,British Grand Prix,6,True,6.562554847,-5,3.018597155,1.491787128,-2.312510969,4.250043878
constructor,cadillac,Cadillac,2,Chinese Grand Prix,1,True,3.644382845,4,3.753380568,4.474959846,0.07112343094,3.715506276
constructor,cadillac,Cadillac,4,Miami Grand Prix,5,True,3.644382845,4,3.753380568,-3.44170682,0.07112343094,3.715506276
constructor,cadillac,Cadillac,5,Canadian Grand Prix,11,True,3.644382845,4,3.753380568,-2.525040154,0.07112343094,3.715506276
constructor,cadillac,Cadillac,9,British Grand Prix,-1,True,3.644382845,4,3.753380568,1.491787128,0.07112343094,3.715506276
constructor,ferrari,Ferrari,2,Chinese Grand Prix,36,True,14.95229935,17.75,15.80980298,4.474959846,0.5595401294,15.51183948
constructor,ferrari,Ferrari,4,Miami Grand Prix,12,True,14.95229935,17.75,15.80980298,-3.44170682,0.5595401294,15.51183948
constructor,ferrari,Ferrari,5,Canadian Grand Prix,9,True,14.95229935,17.75,15.80980298,-2.525040154,0.5595401294,15.51183948
constructor,ferrari,Ferrari,9,British Grand Prix,14,True,14.95229935,17.75,15.80980298,1.491787128,0.5595401294,15.51183948
constructor,mclaren,McLaren,2,Chinese Grand Prix,12,True,13.49321335,17.75,14.79793121,4.474959846,0.8513573296,14.34457068
constructor,mclaren,McLaren,4,Miami Grand Prix,22,True,13.49321335,17.75,14.79793121,-3.44170682,0.8513573296,14.34457068
constructor,mclaren,McLaren,5,Canadian Grand Prix,15,True,13.49321335,17.75,14.79793121,-2.525040154,0.8513573296,14.34457068
constructor,mclaren,McLaren,9,British Grand Prix,22,True,13.49321335,17.75,14.79793121,1.491787128,0.8513573296,14.34457068
constructor,mercedes,Mercedes,2,Chinese Grand Prix,23,True,17.14092835,21.25,18.40037112,4.474959846,0.8218143291,17.96274268
constructor,mercedes,Mercedes,4,Miami Grand Prix,11,True,17.14092835,21.25,18.40037112,-3.44170682,0.8218143291,17.96274268
constructor,mercedes,Mercedes,5,Canadian Grand Prix,21,True,17.14092835,21.25,18.40037112,-2.525040154,0.8218143291,17.96274268
constructor,mercedes,Mercedes,9,British Grand Prix,30,True,17.14092835,21.25,18.40037112,1.491787128,0.8218143291,17.96274268
constructor,red_bull,Red Bull Racing,2,Chinese Grand Prix,18,True,14.22275635,6.25,11.77908265,4.474959846,-1.59455127,12.62820508
constructor,red_bull,Red Bull Racing,4,Miami Grand Prix,9,True,14.22275635,6.25,11.77908265,-3.44170682,-1.59455127,12.62820508
constructor,red_bull,Red Bull Racing,5,Canadian Grand Prix,-8,True,14.22275635,6.25,11.77908265,-2.525040154,-1.59455127,12.62820508
constructor,red_bull,Red Bull Racing,9,British Grand Prix,6,True,14.22275635,6.25,11.77908265,1.491787128,-1.59455127,12.62820508
constructor,williams,Williams,2,Chinese Grand Prix,25,True,6.562554847,13.33333333,8.24816381,4.474959846,1.147585399,7.710140246
