entity_type,model,excluded_round,training_rounds,entity_id,entity_name,form_tier,actual_bonus,predicted_bonus,prediction_event_effect,error
driver,constant,2,"4,5,9",albon,Alexander Albon,low,13,4.359375,0,-8.640625
driver,constant,2,"4,5,9",alonso,Fernando Alonso,low,6,4.359375,0,-1.640625
driver,constant,2,"4,5,9",antonelli,Kimi Antonelli,high,11,4.359375,0,-6.640625
driver,constant,2,"4,5,9",arvid_lindblad,Arvid Lindblad,middle,-4,4.359375,0,8.359375
driver,constant,2,"4,5,9",bearman,Oliver Bearman,low,5,4.359375,0,-0.640625
driver,constant,2,"4,5,9",bortoleto,Gabriel Bortoleto,middle,6,4.359375,0,-1.640625
driver,constant,2,"4,5,9",bottas,Valtteri Bottas,low,-8,4.359375,0,12.359375
driver,constant,2,"4,5,9",colapinto,Franco Colapinto,middle,9,4.359375,0,-4.640625
driver,constant,2,"4,5,9",hadjar,Isack Hadjar,high,3,4.359375,0,1.359375
driver,constant,2,"4,5,9",hamilton,Lewis Hamilton,high,15,4.359375,0,-10.640625
driver,constant,2,"4,5,9",hulkenberg,Nico Hulkenberg,low,-3,4.359375,0,7.359375
driver,constant,2,"4,5,9",lawson,Liam Lawson,middle,14,4.359375,0,-9.640625
driver,constant,2,"4,5,9",leclerc,Charles Leclerc,high,21,4.359375,0,-16.640625
driver,constant,2,"4,5,9",max_verstappen,Max Verstappen,high,15,4.359375,0,-10.640625
driver,constant,2,"4,5,9",norris,Lando Norris,high,5,4.359375,0,-0.640625
driver,constant,2,"4,5,9",ocon,Esteban Ocon,middle,9,4.359375,0,-4.640625
driver,constant,2,"4,5,9",perez,Sergio Perez,low,9,4.359375,0,-4.640625
driver,constant,2,"4,5,9",piastri,Oscar Piastri,high,7,4.359375,0,-2.640625
driver,constant,2,"4,5,9",russell,George Russell,high,12,4.359375,0,-7.640625
driver,constant,2,"4,5,9",sainz,Carlos Sainz,middle,12,4.359375,0,-7.640625
driver,constant,2,"4,5,9",stroll,Lance Stroll,low,5,4.359375,0,-0.640625
driver,constant,4,"2,5,9",albon,Alexander Albon,low,5,5.777777778,0,0.7777777778
driver,constant,4,"2,5,9",alonso,Fernando Alonso,low,10,5.777777778,0,-4.222222222
driver,constant,4,"2,5,9",antonelli,Kimi Antonelli,high,1,5.777777778,0,4.777777778
driver,constant,4,"2,5,9",arvid_lindblad,Arvid Lindblad,middle,-10,5.777777778,0,15.77777778
driver,constant,4,"2,5,9",bearman,Oliver Bearman,low,3,5.777777778,0,2.777777778
driver,constant,4,"2,5,9",bortoleto,Gabriel Bortoleto,middle,-10,5.777777778,0,15.77777778
driver,constant,4,"2,5,9",bottas,Valtteri Bottas,low,1,5.777777778,0,4.777777778
driver,constant,4,"2,5,9",colapinto,Franco Colapinto,middle,-2,5.777777778,0,7.777777778
driver,constant,4,"2,5,9",gasly,Pierre Gasly,middle,5,5.777777778,0,0.7777777778
driver,constant,4,"2,5,9",hadjar,Isack Hadjar,high,3,5.777777778,0,2.777777778
driver,constant,4,"2,5,9",hamilton,Lewis Hamilton,high,4,5.777777778,0,1.777777778
driver,constant,4,"2,5,9",hulkenberg,Nico Hulkenberg,low,-10,5.777777778,0,15.77777778
driver,constant,4,"2,5,9",lawson,Liam Lawson,middle,4,5.777777778,0,1.777777778
driver,constant,4,"2,5,9",leclerc,Charles Leclerc,high,8,5.777777778,0,-2.222222222
driver,constant,4,"2,5,9",max_verstappen,Max Verstappen,high,6,5.777777778,0,-0.2222222222
driver,constant,4,"2,5,9",norris,Lando Norris,high,13,5.777777778,0,-7.222222222
driver,constant,4,"2,5,9",ocon,Esteban Ocon,middle,9,5.777777778,0,-3.222222222
driver,constant,4,"2,5,9",perez,Sergio Perez,low,4,5.777777778,0,1.777777778
driver,constant,4,"2,5,9",piastri,Oscar Piastri,high,9,5.777777778,0,-3.222222222
driver,constant,4,"2,5,9",russell,George Russell,high,10,5.777777778,0,-4.222222222
driver,constant,4,"2,5,9",sainz,Carlos Sainz,middle,4,5.777777778,0,1.777777778
driver,constant,4,"2,5,9",stroll,Lance Stroll,low,10,5.777777778,0,-4.222222222
driver,constant,5,"2,4,9",albon,Alexander Albon,low,6,5.671875,0,-0.328125
driver,constant,5,"2,4,9",alonso,Fernando Alonso,low,-9,5.671875,0,14.671875
driver,constant,5,"2,4,9",antonelli,Kimi Antonelli,high,12,5.671875,0,-6.328125
driver,constant,5,"2,4,9",arvid_lindblad,Arvid Lindblad,middle,2,5.671875,0,3.671875
driver,constant,5,"2,4,9",bearman,Oliver Bearman,low,2,5.671875,0,3.671875
driver,constant,5,"2,4,9",bortoleto,Gabriel Bortoleto,middle,2,5.671875,0,3.671875
driver,constant,5,"2,4,9",bottas,Valtteri Bottas,low,6,5.671875,0,-0.328125
driver,constant,5,"2,4,9",colapinto,Franco Colapinto,middle,8,5.671875,0,-2.328125
driver,constant,5,"2,4,9",gasly,Pierre Gasly,middle,3,5.671875,0,2.671875
driver,constant,5,"2,4,9",hadjar,Isack Hadjar,high,-10,5.671875,0,15.671875
driver,constant,5,"2,4,9",hamilton,Lewis Hamilton,high,3,5.671875,0,2.671875
driver,constant,5,"2,4,9",hulkenberg,Nico Hulkenberg,low,-1,5.671875,0,6.671875
driver,constant,5,"2,4,9",lawson,Liam Lawson,middle,11,5.671875,0,-5.328125
driver,constant,5,"2,4,9",leclerc,Charles Leclerc,high,6,5.671875,0,-0.328125
driver,constant,5,"2,4,9",max_verstappen,Max Verstappen,high,2,5.671875,0,3.671875
driver,constant,5,"2,4,9",norris,Lando Norris,high,9,5.671875,0,-3.328125
driver,constant,5,"2,4,9",ocon,Esteban Ocon,middle,3,5.671875,0,2.671875
driver,constant,5,"2,4,9",perez,Sergio Perez,low,5,5.671875,0,0.671875
