entity_type,comparison_scope,model,strength_definition,mu,lambda,asset_penalty,event_penalty,observations,mae,rmse,bias,spearman,mae_low_form_third,mae_middle_form_third,mae_high_form_third,selected_penalties
driver,strength_definition,strength_only,z_form,5.167337315,2.328882121,,,85,4.356294376,5.832359872,0.009595460284,0.2968500825,4.231522635,4.275261778,4.528776367,
driver,strength_definition,strength_only,form_percentile,1.092031945,7.800305767,,,85,4.403974056,5.857352187,0.01293848569,0.2840004911,4.2634218,4.322200387,4.590842959,
driver,strength_definition,strength_only,blend_form_1.00_price_0.00,1.092031945,7.800305767,,,85,4.403974056,5.857352187,0.01293848569,0.2840004911,4.2634218,4.322200387,4.590842959,
driver,strength_definition,strength_only,blend_form_0.75_price_0.25,0.8895309384,8.194268242,,,85,4.369198835,5.814086497,0.01283662828,0.2937701041,4.265555582,4.297882126,4.515602861,
driver,strength_definition,strength_only,blend_form_0.50_price_0.50,0.7333242019,8.500697696,,,85,4.337571325,5.774614554,0.01263234848,0.3197845153,4.258193405,4.273001983,4.457471803,
driver,strength_definition,strength_only,blend_form_0.25_price_0.75,0.6295256205,8.707647691,,,85,4.305230237,5.740448728,0.01233076764,0.3391146871,4.237089229,4.248422963,4.409234302,
driver,strength_definition,strength_only,blend_form_0.00_price_1.00,0.5806341744,8.810034861,,,85,4.285238689,5.712734488,0.01194445306,0.3527959166,4.201677239,4.225048515,4.405378531,
constructor,strength_definition,strength_only,z_form,9.781197904,4.73870568,,,43,7.160767207,10.34827049,0.002044420948,0.380917234,6.84501849,6.313790796,8.224820861,
constructor,strength_definition,strength_only,form_percentile,1.668376161,14.84619952,,,43,7.190639439,10.54801145,-0.003270044345,0.3450501762,6.906498189,6.169376644,8.407249342,
constructor,strength_definition,strength_only,blend_form_1.00_price_0.00,1.668376161,14.84619952,,,43,7.190639439,10.54801145,-0.003270044345,0.3450501762,6.906498189,6.169376644,8.407249342,
constructor,strength_definition,strength_only,blend_form_0.75_price_0.25,0.9410478057,16.21089102,,,43,7.003443577,10.40313137,0.002138660588,0.3741494113,6.840364355,6.044192243,8.074811875,
constructor,strength_definition,strength_only,blend_form_0.50_price_0.50,0.4392899509,17.17231543,,,43,6.915726993,10.27913072,0.007621632047,0.409463149,6.715768223,6.06511671,7.903808931,
