season,round,event_name,event_date,entity_type,entity_id,entity_name,total_fantasy_points,sprint_points,sprint_qualifying_points,extra_sprint_points,base_weekend_points,current_price,data_source,observation_valid,exclusion_reason
2026,2,Chinese Grand Prix,2026-03-15,constructor,alpine,Alpine,45,9,,9,36,18.8,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,constructor,alpine,Alpine,17,3,,3,14,18.8,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,constructor,alpine,Alpine,46,11,,11,35,18.8,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,constructor,alpine,Alpine,53,12,,12,41,18.8,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,constructor,aston_martin,Aston Martin,-20,11,,11,-31,5.7,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,constructor,aston_martin,Aston Martin,38,20,,20,18,5.7,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,constructor,aston_martin,Aston Martin,-14,-6,,-6,-8,5.7,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,constructor,aston_martin,Aston Martin,16,6,,6,10,5.7,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,constructor,audi,Audi,-4,3,,3,-7,6.8,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,constructor,audi,Audi,-27,-30,,-30,3,6.8,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,constructor,audi,Audi,11,1,,1,10,6.8,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,constructor,audi,Audi,17,6,,6,11,6.8,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,constructor,cadillac,Cadillac,22,1,,1,21,3,Formula 1 Fantasy playerstats,True,
