entity_type,entity_id,entity,method,weight,group_bonus,personal_mean_bonus,shrunk_mean_bonus
constructor,mercedes,Mercedes,fixed_weight_0.25,0.25,17.14092835,21.25,18.16819627
constructor,mercedes,Mercedes,fixed_weight_0.50,0.5,17.14092835,21.25,19.19546418
constructor,mercedes,Mercedes,fixed_weight_0.75,0.75,17.14092835,21.25,20.22273209
constructor,mercedes,Mercedes,empirical_bayes,0.3065029952,17.14092835,21.25,18.40037112
constructor,ferrari,Ferrari,fixed_weight_0.25,0.25,14.95229935,17.75,15.65172451
constructor,ferrari,Ferrari,fixed_weight_0.50,0.5,14.95229935,17.75,16.35114968
constructor,ferrari,Ferrari,fixed_weight_0.75,0.75,14.95229935,17.75,17.05057484
constructor,ferrari,Ferrari,empirical_bayes,0.3065029952,14.95229935,17.75,15.80980298
constructor,mclaren,McLaren,fixed_weight_0.25,0.25,13.49321335,17.75,14.55741001
constructor,mclaren,McLaren,fixed_weight_0.50,0.5,13.49321335,17.75,15.62160668
constructor,mclaren,McLaren,fixed_weight_0.75,0.75,13.49321335,17.75,16.68580334
constructor,mclaren,McLaren,empirical_bayes,0.3065029952,13.49321335,17.75,14.79793121
constructor,red_bull,Red Bull Racing,fixed_weight_0.25,0.25,14.22275635,6.25,12.22956726
constructor,red_bull,Red Bull Racing,fixed_weight_0.50,0.5,14.22275635,6.25,10.23637818
constructor,red_bull,Red Bull Racing,fixed_weight_0.75,0.75,14.22275635,6.25,8.243189088
constructor,red_bull,Red Bull Racing,empirical_bayes,0.3065029952,14.22275635,6.25,11.77908265
constructor,rb,Racing Bulls,fixed_weight_0.25,0.25,10.57504135,6.75,9.618781012
constructor,rb,Racing Bulls,fixed_weight_0.50,0.5,10.57504135,6.75,8.662520675
constructor,rb,Racing Bulls,fixed_weight_0.75,0.75,10.57504135,6.75,7.706260337
constructor,rb,Racing Bulls,empirical_bayes,0.3065029952,10.57504135,6.75,9.40265472
constructor,alpine,Alpine,fixed_weight_0.25,0.25,10.21026985,8.75,9.845202387
constructor,alpine,Alpine,fixed_weight_0.50,0.5,10.21026985,8.75,9.480134925
constructor,alpine,Alpine,fixed_weight_0.75,0.75,10.21026985,8.75,9.115067462
constructor,alpine,Alpine,empirical_bayes,0.3065029952,10.21026985,8.75,9.762692767
constructor,haas,Haas F1 Team,fixed_weight_0.25,0.25,8.021640848,10.75,8.703730636
constructor,haas,Haas F1 Team,fixed_weight_0.50,0.5,8.021640848,10.75,9.385820424
constructor,haas,Haas F1 Team,fixed_weight_0.75,0.75,8.021640848,10.75,10.06791021
constructor,haas,Haas F1 Team,empirical_bayes,0.3065029952,8.021640848,10.75,8.8578911
constructor,williams,Williams,fixed_weight_0.25,0.25,6.562554847,13.33333333,8.255249469
constructor,williams,Williams,fixed_weight_0.50,0.5,6.562554847,13.33333333,9.94794409
constructor,williams,Williams,fixed_weight_0.75,0.75,6.562554847,13.33333333,11.64063871
constructor,williams,Williams,empirical_bayes,0.2489534943,6.562554847,13.33333333,8.24816381
constructor,audi,Audi,fixed_weight_0.25,0.25,6.562554847,-5,3.671916135
constructor,audi,Audi,fixed_weight_0.50,0.5,6.562554847,-5,0.7812774236
constructor,audi,Audi,fixed_weight_0.75,0.75,6.562554847,-5,-2.109361288
constructor,audi,Audi,empirical_bayes,0.3065029952,6.562554847,-5,3.018597155
constructor,cadillac,Cadillac,fixed_weight_0.25,0.25,3.644382845,4,3.733287134
constructor,cadillac,Cadillac,fixed_weight_0.50,0.5,3.644382845,4,3.822191423
constructor,cadillac,Cadillac,fixed_weight_0.75,0.75,3.644382845,4,3.911095711
constructor,cadillac,Cadillac,empirical_bayes,0.3065029952,3.644382845,4,3.753380568
constructor,aston_martin,Aston Martin,fixed_weight_0.25,0.25,2.914839845,7.75,4.123629884
constructor,aston_martin,Aston Martin,fixed_weight_0.50,0.5,2.914839845,7.75,5.332419922
constructor,aston_martin,Aston Martin,fixed_weight_0.75,0.75,2.914839845,7.75,6.541209961
constructor,aston_martin,Aston Martin,empirical_bayes,0.3065029952,2.914839845,7.75,4.396830914
driver,antonelli,Kimi Antonelli,fixed_weight_0.25,0.25,10.48419302,10,10.36314476
driver,antonelli,Kimi Antonelli,fixed_weight_0.50,0.5,10.48419302,10,10.24209651
driver,antonelli,Kimi Antonelli,fixed_weight_0.75,0.75,10.48419302,10,10.12104825
driver,antonelli,Kimi Antonelli,empirical_bayes,0.4166309052,10.48419302,10,10.28246324
driver,hamilton,Lewis Hamilton,fixed_weight_0.25,0.25,9.11646292,7,8.58734719
driver,hamilton,Lewis Hamilton,fixed_weight_0.50,0.5,9.11646292,7,8.05823146
driver,hamilton,Lewis Hamilton,fixed_weight_0.75,0.75,9.11646292,7,7.52911573
driver,hamilton,Lewis Hamilton,empirical_bayes,0.4166309052,9.11646292,7,8.234679058
driver,leclerc,Charles Leclerc,fixed_weight_0.25,0.25,8.18340869,10.75,8.825056518
driver,leclerc,Charles Leclerc,fixed_weight_0.50,0.5,8.18340869,10.75,9.466704345
driver,leclerc,Charles Leclerc,fixed_weight_0.75,0.75,8.18340869,10.75,10.10835217
driver,leclerc,Charles Leclerc,empirical_bayes,0.4166309052,8.18340869,10.75,9.252729951
driver,russell,George Russell,fixed_weight_0.25,0.25,7.956702742,11.25,8.780027057
driver,russell,George Russell,fixed_weight_0.50,0.5,7.956702742,11.25,9.603351371
driver,russell,George Russell,fixed_weight_0.75,0.75,7.956702742,11.25,10.42667569
driver,russell,George Russell,empirical_bayes,0.4166309052,7.956702742,11.25,9.32879216
driver,max_verstappen,Max Verstappen,fixed_weight_0.25,0.25,7.786204881,6.5,7.464653661
driver,max_verstappen,Max Verstappen,fixed_weight_0.50,0.5,7.786204881,6.5,7.143102441
driver,max_verstappen,Max Verstappen,fixed_weight_0.75,0.75,7.786204881,6.5,6.82155122
driver,max_verstappen,Max Verstappen,empirical_bayes,0.4166309052,7.786204881,6.5,7.250332177
driver,norris,Lando Norris,fixed_weight_0.25,0.25,6.680779187,10.25,7.57308439
driver,norris,Lando Norris,fixed_weight_0.50,0.5,6.680779187,10.25,8.465389593
