asset_id,entity,entity_type,current_price,production_ev,shadow_normal_ev,shadow_sprint_bonus,shadow_sprint_ev,shadow_personal_mean_bonus,shadow_personal_weight,shadow_group_bonus,shadow_strength,shadow_valid_race_count,shadow_minus_production,baseline_difference,production_points_per_million,shadow_points_per_million,production_rank,shadow_rank,rank_change,absolute_rank_change,assessment,qualitative_note
11161,Kimi Antonelli,driver,25.700000000000,27.060159067926,31.398673654485,9.793855032964,41.192528687449,10.000000000000,0.416658964446,9.646613293988,,11,14.132369619523,4.338514586559,1.052924477351,1.602822127916,5,1,4,4,sensible,Driver bonus 9.79 combines form-linked group expectation with frozen personal history.
124,George Russell,driver,27.900000000000,24.672295808597,20.066606070125,8.947303951572,29.013910021696,11.250000000000,0.416658964446,7.302573180900,,10,4.341614213099,-4.605689738472,0.884311677727,1.039925090383,6,6,0,0,sensible,Driver bonus 8.95 combines form-linked group expectation with frozen personal history.
117,Lando Norris,driver,26.100000000000,27.464948601164,21.396083171346,8.691065268288,30.087148439634,10.250000000000,0.416658964446,7.577575746098,,11,2.622199838471,-6.068865429818,1.052296881271,1.152764308032,4,5,-1,1,sensible,Driver bonus 8.69 combines form-linked group expectation with frozen personal history.
110,Lewis Hamilton,driver,25.000000000000,27.666919966406,28.567931095704,8.202308873965,36.770239969668,7.000000000000,0.416658964446,9.061073712776,,11,9.103320003262,0.901011129298,1.106676798656,1.470809598787,2,2,0,0,sensible,Driver bonus 8.20 combines form-linked group expectation with frozen personal history.
115,Charles Leclerc,driver,23.900000000000,27.633830026788,26.299286663314,9.491035841626,35.790322504941,10.750000000000,0.416658964446,8.591804224903,,10,8.156492478152,-1.334543363474,1.156227197774,1.497503033680,3,3,0,0,sensible,Driver bonus 9.49 combines form-linked group expectation with frozen personal history.
114,Liam Lawson,driver,10.300000000000,7.254887316603,8.979371245195,6.567824300776,15.547195545972,8.750000000000,0.416658964446,5.009176765868,,11,8.292308229369,1.724483928593,0.704357991903,1.509436460774,10,9,1,1,sensible,Driver bonus 6.57 combines form-linked group expectation with frozen personal history.
11031,Oliver Bearman,driver,7.600000000000,4.980537954609,3.875613910134,3.972853460970,7.848467371104,4.000000000000,0.416658964446,3.953463690404,,11,2.867929416494,-1.104924044475,0.655333941396,1.032693075145,15,16,-1,1,sensible,Driver bonus 3.97 combines form-linked group expectation with frozen personal history.
111,Nico Hulkenberg,driver,3.000000000000,0.278950314966,-0.447921393781,0.638709553804,0.190788160023,-2.750000000000,0.416658964446,3.059139675189,,11,-0.088162154943,-0.726871708747,0.092983438322,0.063596053341,20,19,1,1,sensible,Conservative 0.64-point bonus reflects the stored -2.75 personal Sprint mean.
13,Valtteri Bottas,driver,3.000000000000,-3.553267470013,-6.940213619183,1.105299246841,-5.834914372341,0.250000000000,0.416658964446,1.716207920773,,11,-2.281646902328,-3.386946149169,-1.184422490004,-1.944971457447,22,22,0,0,sensible,"Bonus is 1.11, avoiding the former unstable +13-style artefact."
129,Lance Stroll,driver,3.000000000000,-2.066177798423,-6.541883994221,3.236658191704,-3.305225802517,5.250000000000,0.416658964446,1.798602471652,,11,-1.239048004095,-4.475706195798,-0.688725932808,-1.101741934172,21,21,0,0,sensible,Driver bonus 3.24 combines form-linked group expectation with frozen personal history.
