entity,canonical_entity_id,entity_type,sprint_observations,ridge_penalty,penalty_validation_mae,group_alpha,group_beta,shrunk_alpha,shrunk_beta,alpha_deviation_from_group,beta_deviation_from_group,replacement_or_sparse_asset
Alexander Albon,albon,driver,4,100,13.2056535009,8.45009964387,0.731969162023,7.82928939599,0.743023534998,-0.620810247881,0.0110543729754,False
Fernando Alonso,alonso,driver,4,100,13.2056535009,8.45009964387,0.731969162023,8.13333322301,0.745320501683,-0.316766420862,0.0133513396603,False
Andrea Kimi Antonelli,antonelli,driver,4,100,13.2056535009,8.45009964387,0.731969162023,8.42299718044,0.782650915491,-0.0271024634274,0.0506817534678,False
Arvid Lindblad,arvid_lindblad,driver,4,100,13.2056535009,8.45009964387,0.731969162023,7.88009752512,0.73243922032,-0.570002118748,0.000470058297388,False
Oliver Bearman,bearman,driver,4,100,13.2056535009,8.45009964387,0.731969162023,8.51830574773,0.735846149714,0.0682061038556,0.00387698769148,False
Gabriel Bortoleto,bortoleto,driver,4,100,13.2056535009,8.45009964387,0.731969162023,8.04607265689,0.728100576626,-0.404026986979,-0.00386858539676,False
Valtteri Bottas,bottas,driver,4,100,13.2056535009,8.45009964387,0.731969162023,8.81908938286,0.714321017677,0.368989738992,-0.0176481443459,False
Franco Colapinto,colapinto,driver,4,100,13.2056535009,8.45009964387,0.731969162023,8.8016698838,0.727498576602,0.351570239934,-0.00447058542039,False
Pierre Gasly,gasly,driver,4,100,13.2056535009,8.45009964387,0.731969162023,8.2851270357,0.729742888717,-0.164972608166,-0.00222627330562,False
Isack Hadjar,hadjar,driver,4,100,13.2056535009,8.45009964387,0.731969162023,8.43873141864,0.731629063053,-0.0113682252339,-0.000340098970219,False
Lewis Hamilton,hamilton,driver,4,100,13.2056535009,8.45009964387,0.731969162023,8.59013568528,0.75239566038,0.140036041408,0.0204264983573,False
Nico Hülkenberg,hulkenberg,driver,4,100,13.2056535009,8.45009964387,0.731969162023,7.98606904321,0.743778775606,-0.464030600661,0.0118096135836,False
Liam Lawson,lawson,driver,4,100,13.2056535009,8.45009964387,0.731969162023,8.60543638678,0.728889083194,0.15533674291,-0.00308007882911,False
Charles Leclerc,leclerc,driver,4,100,13.2056535009,8.45009964387,0.731969162023,8.76685267997,0.747880055245,0.316753036095,0.0159108932225,False
Max Verstappen,max_verstappen,driver,4,100,13.2056535009,8.45009964387,0.731969162023,8.52532323733,0.683983504674,0.075223593464,-0.0479856573486,False
Lando Norris,norris,driver,4,100,13.2056535009,8.45009964387,0.731969162023,8.49932848406,0.723946052801,0.0492288401899,-0.00802310922155,False
Esteban Ocon,ocon,driver,4,100,13.2056535009,8.45009964387,0.731969162023,8.49777880397,0.731858458492,0.0476791600965,-0.000110703531024,False
Sergio Pérez,perez,driver,4,100,13.2056535009,8.45009964387,0.731969162023,8.34709190315,0.734137512734,-0.103007740716,0.00216835071099,False
Oscar Piastri,piastri,driver,4,100,13.2056535009,8.45009964387,0.731969162023,8.45285522621,0.739243991235,0.00275558234244,0.0072748292121,False
George Russell,russell,driver,4,100,13.2056535009,8.45009964387,0.731969162023,8.4349832944,0.734079354537,-0.0151163494751,0.00211019251456,False
Carlos Sainz,sainz,driver,4,100,13.2056535009,8.45009964387,0.731969162023,8.60197695686,0.731678739669,0.151877312992,-0.000290422353791,False
Lance Stroll,stroll,driver,4,100,13.2056535009,8.45009964387,0.731969162023,9.31245880198,0.683747369297,0.86235915811,-0.0482217927256,False
Alpine,alpine,constructor,4,100,20.0030906092,15.0864843861,0.866043920795,15.2836518379,0.865378286046,0.19716745185,-0.00066563474911,False
Aston Martin,aston_martin,constructor,4,100,20.0030906092,15.0864843861,0.866043920795,16.2043312875,0.843005190415,1.11784690144,-0.0230387303809,False
Audi,audi,constructor,3,100,20.0030906092,15.0864843861,0.866043920795,13.9791104427,0.871822530638,-1.10737394337,0.00577860984277,True
Cadillac,cadillac,constructor,4,100,20.0030906092,15.0864843861,0.866043920795,15.6728976283,0.855029277022,0.586413242163,-0.0110146437737,False
Ferrari,ferrari,constructor,4,100,20.0030906092,15.0864843861,0.866043920795,15.1454998436,0.87773343109,0.0590154574857,0.0116895102944,False
Haas,haas,constructor,4,100,20.0030906092,15.0864843861,0.866043920795,15.1947901851,0.867461919758,0.108305799012,0.00141799896246,False
McLaren,mclaren,constructor,4,100,20.0030906092,15.0864843861,0.866043920795,14.876174781,0.878068421872,-0.210309605092,0.0120245010761,False
Mercedes,mercedes,constructor,4,100,20.0030906092,15.0864843861,0.866043920795,15.0247475048,0.872594403967,-0.0617368812509,0.00655048317161,False
Racing Bulls,rb,constructor,4,100,20.0030906092,15.0864843861,0.866043920795,14.7143026378,0.867615935412,-0.372181748316,0.00157201461607,False
Red Bull,red_bull,constructor,4,100,20.0030906092,15.0864843861,0.866043920795,14.8249674333,0.861940640943,-0.261516952755,-0.00410327985283,False
Williams,williams,constructor,3,100,20.0030906092,15.0864843861,0.866043920795,14.8646528021,0.86782870272,-0.221831583959,0.00178478192492,True
