entity_type,model,mae,rmse,bias,rank_correlation,top_asset_overlap,calibration_slope,observation_count,sprint_event_count
driver,0_no_adjustment,14.9875,17.8381247103,-5.88522727273,0.572653569178,0.65,0.731969162023,88,4
driver,1_global_multiplier,15.0977568589,17.9238208325,-6.10232474978,0.571280741164,0.65,0.738231697059,88,4
driver,2_global_additive,13.6384641873,17.0473060611,-4.844609562e-16,0.553308042096,0.65,0.715501985653,88,4
driver,3_hybrid_linear,13.185934333,16.5780446968,-0.0193611874201,0.539511352518,0.65,0.951676626874,88,4
driver,4_2026_weighted_hybrid,13.1180813036,16.5008232727,-1.00751970747,0.557677874811,0.65,0.922418783844,88,4
driver,5_shrunk_asset_hybrid,13.2056535009,16.5791568175,0.056980910312,0.543000678131,0.6,0.951254924271,88,4
constructor,0_no_adjustment,20.494047619,25.6823834842,-11.2845238095,0.769960672337,0.833333333333,0.866043920795,42,4
constructor,1_global_multiplier,21.3645531509,26.2413926391,-8.28207268918,0.765695345392,0.833333333333,0.764015925605,42,4
constructor,2_global_additive,19.8775681644,24.1568043653,0.151471294163,0.749726471473,0.833333333333,0.837265079659,42,4
constructor,3_hybrid_linear,19.9741024241,24.2287222212,0.161126867451,0.74397119204,0.833333333333,0.949276154371,42,4
constructor,4_2026_weighted_hybrid,18.668375087,23.3562189017,-2.67489202181,0.760183246781,0.833333333333,0.908138039419,42,4
constructor,5_shrunk_asset_hybrid,20.0030906092,24.2137980474,0.370677919821,0.743160589303,0.833333333333,0.953676988507,42,4
