period,entity_type,baseline_method,scale,estimator,model_variant,alpha,beta,standard_error_alpha,standard_error_beta,alpha_ci_lower,alpha_ci_upper,beta_ci_lower,beta_ci_upper,confidence_interval_alpha,confidence_interval_beta,r_squared,adjusted_r_squared,mae,rmse,bias,observation_count,sprint_event_count,excluded_observation_count,imputed_observation_count,condition_number
2023,driver,strict_walk_forward_divided_by_season_normal_mean,season_normalised,OLS,hybrid,0.338780166059,0.94112974222,0.17911895366,0.135017256354,-0.0122929831144,0.689853315233,0.676495919766,1.20576356467,"[-0.012293, 0.689853]","[0.676496, 1.20576]",0.291661583243,0.285658715304,1.0934532169,1.36594549648,5.47710025482e-16,120,6,0,0,2.57514404614
2023,constructor,strict_walk_forward_divided_by_season_normal_mean,season_normalised,OLS,hybrid,0.202759019333,1.02846086397,0.154554723265,0.125542904581,-0.100168238266,0.505686276932,0.782396770992,1.27452495695,"[-0.100168, 0.505686]","[0.782397, 1.27452]",0.53641022662,0.528417299493,0.583505581701,0.740882046184,5.43084096212e-16,60,6,0,0,2.90173372051
2024,driver,strict_walk_forward_divided_by_season_normal_mean,season_normalised,OLS,hybrid,0.462903730241,0.90467681078,0.17959155257,0.126642313924,0.110904287203,0.814903173279,0.656457875489,1.15289574607,"[0.110904, 0.814903]","[0.656458, 1.1529]",0.30369755767,0.297746254744,1.01827005166,1.36748687943,-9.70278945891e-17,119,6,1,0,2.63698289045
2024,constructor,strict_walk_forward_divided_by_season_normal_mean,season_normalised,OLS,hybrid,0.30426942848,1.0087152343,0.143559673808,0.109180917096,0.022892467816,0.585646389144,0.794720636795,1.22270983181,"[0.0228925, 0.585646]","[0.794721, 1.22271]",0.595418159541,0.588442610568,0.55081567712,0.727885937938,-5.93969318174e-16,60,6,0,0,2.75428231075
2025,driver,strict_walk_forward_divided_by_season_normal_mean,season_normalised,OLS,hybrid,0.579036004056,0.757344503959,0.170208398166,0.111606052264,0.245427543652,0.912644464461,0.538596641521,0.976092366397,"[0.245428, 0.912644]","[0.538597, 0.976092]",0.280698653398,0.274602879274,1.19686033926,1.48233208139,4.32986979604e-16,120,6,0,0,2.28189512438
2025,constructor,strict_walk_forward_divided_by_season_normal_mean,season_normalised,OLS,hybrid,0.311888996939,0.934211951521,0.163002011601,0.134985015069,-0.00759494579844,0.631372939676,0.669641321986,1.19878258106,"[-0.00759495, 0.631373]","[0.669641, 1.19878]",0.452304494176,0.442861468214,0.601043207095,0.803489533019,1.23974904416e-16,60,6,0,0,2.78619257254
2026,driver,strict_walk_forward_divided_by_season_normal_mean,season_normalised,OLS,hybrid,0.911403604446,0.731969162023,0.223132021807,0.11365433295,0.474064841705,1.34874236719,0.509206669441,0.954731654605,"[0.474065, 1.34874]","[0.509207, 0.954732]",0.325371650529,0.317527134838,1.38796698053,1.76021671509,7.97341990413e-16,88,4,0,0,2.50797518143
2026,constructor,strict_walk_forward_divided_by_season_normal_mean,season_normalised,OLS,hybrid,0.563703448054,0.866043920795,0.179328113852,0.112438137593,0.212220344905,0.915186551204,0.645665171113,1.08642267048,"[0.21222, 0.915187]","[0.645665, 1.08642]",0.597289848898,0.58722209512,0.679919110004,0.847122835559,-1.00448749847e-16,42,4,1,0,2.58846358084
2023-2025,driver,strict_walk_forward_divided_by_season_normal_mean,season_normalised,OLS,hybrid,0.480042939586,0.84894337675,0.100434512455,0.0704505583698,0.283191295175,0.676894583997,0.710860282345,0.987026471155,"[0.283191, 0.676895]","[0.71086, 0.987026]",0.289138227219,0.287147017772,1.10040877034,1.40970203098,2.3008521736e-16,359,18,1,0,2.45618211624
2023-2025,constructor,strict_walk_forward_divided_by_season_normal_mean,season_normalised,OLS,hybrid,0.271815764152,0.992544246479,0.087757222841,0.0700923516559,0.0998116073838,0.44381992092,0.855163237233,1.12992525572,"[0.0998116, 0.44382]","[0.855163, 1.12993]",0.529747892924,0.527106027154,0.575462248108,0.759626544751,5.25505564989e-16,180,18,0,0,2.80422651704
2023-2026,driver,strict_walk_forward_divided_by_season_normal_mean,season_normalised,OLS,hybrid,0.58157167204,0.80730452247,0.0908026927456,0.0587226128972,0.403598394259,0.759544949822,0.692208201191,0.922400843748,"[0.403598, 0.759545]","[0.692208, 0.922401]",0.298108326802,0.296531042143,1.16017224832,1.49206380033,-2.94072496903e-16,447,22,1,0,2.39839403428
2023-2026,constructor,strict_walk_forward_divided_by_season_normal_mean,season_normalised,OLS,hybrid,0.33954881052,0.953606647404,0.0777083554908,0.0587044363432,0.187240433758,0.491857187282,0.838545952171,1.06866734264,"[0.18724, 0.491857]","[0.838546, 1.06867]",0.5453362363,0.543269582829,0.597891363779,0.781358723428,-3.14063089849e-16,222,22,1,0,2.69612831568
