season,round,event_name,event_date,event_cluster,entity_type,canonical_entity_id,entity,price,sprint_score,x_strict_prior_normal,x_recency_prior_normal,x_all_prior_adjusted,x_shrunk_prior,x_descriptive_full_season,strict_prior_normal_count,strict_excluded,shrunk_prior_imputed,baseline_method_strict,baseline_method_recency,baseline_method_all_prior,baseline_method_shrunk,baseline_method_descriptive,prior_global_sprint_factor,season_normal_mean,x_strict_normalised,y_normalised,price_percentile,form_rank,form_tier,price_tier
2023,4,Azerbaijan Grand Prix,2023-04-30,2023-4,constructor,alfa,Alfa Romeo,6,-10,21.3333333333,21.0819672131,21.3333333333,24.85,10.4375,3,False,False,same_season_prior_normal_mean_walk_forward,same_season_prior_normal_recency_decay_0.8,all_prior_weekends_sprint_scores_divided_by_prior_global_factor,same_season_plus_prior_group_prior,full_season_normal_mean_non_predictive,1,29.9875,0.711407530916,-0.333472280117,0.3,5,middle,low
2023,4,Azerbaijan Grand Prix,2023-04-30,2023-4,constructor,alphatauri,AlphaTauri,6.1,-23,15,14.7049180328,15,21.6833333333,14.5,3,False,False,same_season_prior_normal_mean_walk_forward,same_season_prior_normal_recency_decay_0.8,all_prior_weekends_sprint_scores_divided_by_prior_global_factor,same_season_plus_prior_group_prior,full_season_normal_mean_non_predictive,1,29.9875,0.500208420175,-0.766986244268,0.4,7,middle,medium
2023,4,Azerbaijan Grand Prix,2023-04-30,2023-4,constructor,alpine,Alpine,9.9,25,15.6666666667,15.7868852459,15.6666666667,22.0166666667,17.75,3,False,False,same_season_prior_normal_mean_walk_forward,same_season_prior_normal_recency_decay_0.8,all_prior_weekends_sprint_scores_divided_by_prior_global_factor,same_season_plus_prior_group_prior,full_season_normal_mean_non_predictive,1,29.9875,0.522439905516,0.833680700292,0.7,6,middle,high
2023,4,Azerbaijan Grand Prix,2023-04-30,2023-4,constructor,aston_martin,Aston Martin,7,55,43,43.0491803279,43,35.6833333333,30.6875,3,False,False,same_season_prior_normal_mean_walk_forward,same_season_prior_normal_recency_decay_0.8,all_prior_weekends_sprint_scores_divided_by_prior_global_factor,same_season_plus_prior_group_prior,full_season_normal_mean_non_predictive,1,29.9875,1.4339308045,1.83409754064,0.5,2,top,medium
2023,4,Azerbaijan Grand Prix,2023-04-30,2023-4,constructor,ferrari,Ferrari,22.2,63,31,28.7049180328,31,29.6833333333,47,3,False,False,same_season_prior_normal_mean_walk_forward,same_season_prior_normal_recency_decay_0.8,all_prior_weekends_sprint_scores_divided_by_prior_global_factor,same_season_plus_prior_group_prior,full_season_normal_mean_non_predictive,1,29.9875,1.03376406836,2.10087536474,0.8,4,middle,high
2023,4,Azerbaijan Grand Prix,2023-04-30,2023-4,constructor,haas,Haas,5.2,17,14.3333333333,14.7868852459,14.3333333333,21.35,9,3,False,False,same_season_prior_normal_mean_walk_forward,same_season_prior_normal_recency_decay_0.8,all_prior_weekends_sprint_scores_divided_by_prior_global_factor,same_season_plus_prior_group_prior,full_season_normal_mean_non_predictive,1,29.9875,0.477976934834,0.566902876198,0.2,8,lower,low
2023,4,Azerbaijan Grand Prix,2023-04-30,2023-4,constructor,mclaren,McLaren,9,23,11.3333333333,15.1475409836,11.3333333333,19.85,37.0625,3,False,False,same_season_prior_normal_mean_walk_forward,same_season_prior_normal_recency_decay_0.8,all_prior_weekends_sprint_scores_divided_by_prior_global_factor,same_season_plus_prior_group_prior,full_season_normal_mean_non_predictive,1,29.9875,0.377935250799,0.766986244268,0.6,9,lower,medium
2023,4,Azerbaijan Grand Prix,2023-04-30,2023-4,constructor,mercedes,Mercedes,25.1,49,40.3333333333,39.3442622951,40.3333333333,34.35,47.6875,3,False,False,same_season_prior_normal_mean_walk_forward,same_season_prior_normal_recency_decay_0.8,all_prior_weekends_sprint_scores_divided_by_prior_global_factor,same_season_plus_prior_group_prior,full_season_normal_mean_non_predictive,1,29.9875,1.34500486314,1.63401417257,0.9,3,top,high
2023,4,Azerbaijan Grand Prix,2023-04-30,2023-4,constructor,red_bull,Red Bull,27.6,108,90.3333333333,91.7704918033,90.3333333333,59.35,80.1875,3,False,False,same_season_prior_normal_mean_walk_forward,same_season_prior_normal_recency_decay_0.8,all_prior_weekends_sprint_scores_divided_by_prior_global_factor,same_season_plus_prior_group_prior,full_season_normal_mean_non_predictive,1,29.9875,3.01236626372,3.60150062526,1,1,top,high
2023,4,Azerbaijan Grand Prix,2023-04-30,2023-4,constructor,williams,Williams,4.8,-15,1.33333333333,-0.737704918033,1.33333333333,14.85,5.5625,3,False,False,same_season_prior_normal_mean_walk_forward,same_season_prior_normal_recency_decay_0.8,all_prior_weekends_sprint_scores_divided_by_prior_global_factor,same_season_plus_prior_group_prior,full_season_normal_mean_non_predictive,1,29.9875,0.0444629706822,-0.500208420175,0.1,10,lower,low
2023,4,Azerbaijan Grand Prix,2023-04-30,2023-4,driver,albon,Alexander Albon,5.2,2,-6.33333333333,-8.31147540984,-6.33333333333,2.36666666667,4.25,3,False,False,same_season_prior_normal_mean_walk_forward,same_season_prior_normal_recency_decay_0.8,all_prior_weekends_sprint_scores_divided_by_prior_global_factor,same_season_plus_prior_group_prior,full_season_normal_mean_non_predictive,1,11.978125,-0.528741629707,0.16697104096,0.3,20,lower,low
2023,4,Azerbaijan Grand Prix,2023-04-30,2023-4,driver,alonso,Fernando Alonso,9.1,27,28.3333333333,27.1967213115,28.3333333333,19.7,18.1875,3,False,False,same_season_prior_normal_mean_walk_forward,same_season_prior_normal_recency_decay_0.8,all_prior_weekends_sprint_scores_divided_by_prior_global_factor,same_season_plus_prior_group_prior,full_season_normal_mean_non_predictive,1,11.978125,2.36542308027,2.25410905296,0.6,3,top,medium
2023,4,Azerbaijan Grand Prix,2023-04-30,2023-4,driver,bottas,Valtteri Bottas,7.6,-1,7.66666666667,7.67213114754,7.66666666667,9.36666666667,1.625,3,False,False,same_season_prior_normal_mean_walk_forward,same_season_prior_normal_recency_decay_0.8,all_prior_weekends_sprint_scores_divided_by_prior_global_factor,same_season_plus_prior_group_prior,full_season_normal_mean_non_predictive,1,11.978125,0.640055657014,-0.08348552048,0.45,12,middle,medium
2023,4,Azerbaijan Grand Prix,2023-04-30,2023-4,driver,de_vries,Nyck de Vries,4.8,-15,6,5.62295081967,6,8.53333333333,3.25,3,False,False,same_season_prior_normal_mean_walk_forward,same_season_prior_normal_recency_decay_0.8,all_prior_weekends_sprint_scores_divided_by_prior_global_factor,same_season_plus_prior_group_prior,full_season_normal_mean_non_predictive,1,11.978125,0.50091312288,-1.2522828072,0.225,14,middle,low
2023,4,Azerbaijan Grand Prix,2023-04-30,2023-4,driver,gasly,Pierre Gasly,8.1,17,9,7.62295081967,9,10.0333333333,8.25,3,False,False,same_season_prior_normal_mean_walk_forward,same_season_prior_normal_recency_decay_0.8,all_prior_weekends_sprint_scores_divided_by_prior_global_factor,same_season_plus_prior_group_prior,full_season_normal_mean_non_predictive,1,11.978125,0.75136968432,1.41925384816,0.55,7,middle,medium
