period,entity_type,baseline_method,scale,estimator,model_variant,alpha,beta,standard_error_alpha,standard_error_beta,alpha_ci_lower,alpha_ci_upper,beta_ci_lower,beta_ci_upper,confidence_interval_alpha,confidence_interval_beta,r_squared,adjusted_r_squared,mae,rmse,bias,observation_count,sprint_event_count,excluded_observation_count,imputed_observation_count,condition_number,season_effects,target_2026_weight,weight_validation_mae
2026,driver,strict_same_season_prior_normal_walk_forward,raw,OLS,2026_overall_hybrid,8.45009964387,0.731969162023,2.06877371211,0.11365433295,4.39530316813,12.5048961196,0.509206669441,0.954731654605,"[4.3953, 12.5049]","[0.509207, 0.954732]",0.325371650529,0.317527134838,12.8685680314,16.3198900737,6.1365054452e-15,88,4,0,0,21.4158291087,,,
2026,driver,strict_same_season_prior_normal_walk_forward,raw,Huber_IRLS,2026_overall_robust_hybrid,9.61359354464,0.724590157495,1.79089041986,0.100694320556,6.10344832172,13.1237387676,0.527229289205,0.921951025785,"[6.10345, 13.1237]","[0.527229, 0.921951]",0.322313227385,0.314433148633,12.8308904657,16.3568412982,1.09288185858,88,4,0,0,21.4158291087,,,
2023-2026,driver,strict_same_season_prior_normal_walk_forward,raw,OLS,naive_raw_pooling,6.01167493318,0.816362364317,0.968397776995,0.0598374509094,4.11361529027,7.90973457609,0.699080960535,0.9336437681,"[4.11362, 7.90973]","[0.699081, 0.933644]",0.29491709885,0.293332642892,12.2907649069,15.7192704246,1.28438149999e-14,447,22,0,0,21.0649027439,,,
2023-2026,driver,strict_same_season_prior_normal_walk_forward,raw,OLS,raw_with_season_fixed_effects_2026_intercept,7.6250362549,0.818188825043,1.77828229145,0.0600747011785,4.13960296366,11.1104695461,0.700442410733,0.935935239353,"[4.1396, 11.1105]","[0.700442, 0.935935]",0.296868401813,0.290505219929,12.2748210314,15.6975039698,-1.05325641323e-13,447,22,0,0,69.7925460786,"{""beta"": 0.8181888250433045, ""intercept"": 5.4492234867537315, ""season_2024"": 0.42370800667661, ""season_2025"": 0.009036273539511029, ""season_2026"": 2.1758127681442785}",,
2023-2026,driver,strict_same_season_prior_normal_walk_forward,raw,weighted_OLS,equal_season_weight,6.21015661355,0.80761177072,0.962503359178,0.0589622548208,4.32365002956,8.09666319754,0.692045751272,0.923177790169,"[4.32365, 8.09666]","[0.692046, 0.923178]",0.294849909233,0.293265302287,12.2800954364,15.7200193766,0.108034814994,447,22,0,0,21.0649027439,,0.25,
2023-2026,driver,strict_same_season_prior_normal_walk_forward,raw,weighted_OLS,2026_50_percent_weight,7.05301282644,0.774020515921,0.939674807196,0.0553620697728,5.21125020434,8.89477544855,0.665510859166,0.882530172676,"[5.21125, 8.89478]","[0.665511, 0.88253]",0.293083807909,0.291495232196,12.2452327286,15.73969305,0.60368901619,447,22,0,0,21.0649027439,,0.5,
2023-2026,driver,strict_same_season_prior_normal_walk_forward,raw,weighted_OLS,validation_selected_2026_weight,7.05301282644,0.774020515921,0.939674807196,0.0553620697728,5.21125020434,8.89477544855,0.665510859166,0.882530172676,"[5.21125, 8.89478]","[0.665511, 0.88253]",0.293083807909,0.291495232196,12.2452327286,15.73969305,0.60368901619,447,22,0,0,21.0649027439,,0.5,13.1180813036
2026,constructor,strict_same_season_prior_normal_walk_forward,raw,OLS,2026_overall_hybrid,15.0864843861,0.866043920795,4.79938662598,0.112438137593,5.67968659917,24.493282173,0.645665171113,1.08642267048,"[5.67969, 24.4933]","[0.645665, 1.08642]",0.597289848898,0.58722209512,18.1967824967,22.6716822043,-1.75943915522e-14,42,4,0,0,57.1622726609,,,
2026,constructor,strict_same_season_prior_normal_walk_forward,raw,Huber_IRLS,2026_overall_robust_hybrid,15.2413511712,0.853257925473,4.28967315134,0.100198720725,6.83359179462,23.6491105479,0.656868432851,1.04964741809,"[6.83359, 23.6491]","[0.656868, 1.04965]",0.59712575476,0.587053898629,18.2166529171,22.6763008006,-0.208027160662,42,4,0,0,57.1622726609,,,
2023-2026,constructor,strict_same_season_prior_normal_walk_forward,raw,OLS,naive_raw_pooling,9.67928348172,0.953214295741,2.24641317562,0.0595074805807,5.2763136575,14.0822533059,0.836579633803,1.06984895768,"[5.27631, 14.0823]","[0.83658, 1.06985]",0.538386285991,0.536288041837,17.1632756851,22.4259188847,-1.14903082044e-14,222,22,0,0,56.1093872647,,,
