entity_type,dimension,tier,mean_normal_ev,mean_actual_sprint_score,mean_predicted_sprint_score,mean_residual_prediction_minus_actual,mae,observation_count
driver,price,high,23.3078125,28.46875,25.5106996281,-2.95805037192,15.9523272212,32
driver,price,low,-1.55925925926,4.14814814815,7.30876995049,3.16062180235,13.3903235132,27
driver,price,medium,4.77068965517,11.6206896552,11.942097353,0.321407697865,8.98002692498,29
driver,pre_event_form,lower,-6.83571428571,3.21428571429,3.44656758633,0.232281872043,10.4727800479,28
driver,pre_event_form,middle,10.12625,14.65,15.8622023708,1.2122023708,13.0197375859,40
driver,pre_event_form,top,31.4225,34.2,31.4504006375,-2.74959936247,15.9203320993,20
constructor,price,high,58.525,67.75,65.7717048506,-1.97829514935,20.5877570398,16
constructor,price,low,3.95909090909,9.33333333333,18.5152309998,7.96977645433,19.3754938481,12
constructor,price,medium,14.14,31.0666666667,27.3323454261,-3.73432124053,14.7820213263,15
constructor,pre_event_form,lower,-9.36363636364,13.1666666667,6.97716403682,-7.75010869045,15.1825871818,12
constructor,pre_event_form,middle,25.6342105263,27.3684210526,37.2868365768,9.91841552416,17.8630668525,19
constructor,pre_event_form,top,67.3333333333,82,73.4001083863,-8.59989161368,21.4881779719,12
