period,entity_type,baseline_method,scale,estimator,model_variant,alpha,beta,standard_error_alpha,standard_error_beta,alpha_ci_lower,alpha_ci_upper,beta_ci_lower,beta_ci_upper,confidence_interval_alpha,confidence_interval_beta,r_squared,adjusted_r_squared,mae,rmse,bias,observation_count,sprint_event_count,excluded_observation_count,imputed_observation_count,condition_number
2023,driver,strict_same_season_prior_normal_walk_forward,raw,OLS,hybrid,4.05795117658,0.94112974222,2.14550921681,0.135017256354,-0.147246888367,8.26314924153,0.676495919766,1.20576356467,"[-0.147247, 8.26315]","[0.676496, 1.20576]",0.291661583243,0.285658715304,13.0975193136,16.3614659001,-3.07901852163e-15,120,6,0,0,22.6810615644
2023,driver,recency_weighted_same_season_prior_normal_walk_forward,raw,OLS,hybrid_baseline_sensitivity,4.80685790592,0.891757481693,2.10171334534,0.131044406402,0.68749974905,8.92621606279,0.634910445146,1.14860451824,"[0.6875, 8.92622]","[0.63491, 1.1486]",0.281836794566,0.275750665706,13.4551438119,16.4745434718,-2.84217094304e-15,120,6,0,0,22.2672302963
2023,driver,all_prior_weekends_adjusted_by_prior_global_sprint_factor,raw,OLS,hybrid_baseline_sensitivity,3.81381635761,0.960496089842,2.17328063563,0.138054780014,-0.44581368822,8.07344640344,0.689908721015,1.23108345867,"[-0.445814, 8.07345]","[0.689909, 1.23108]",0.290885780857,0.284876338322,13.0366007043,16.370423335,5.44749430749e-15,120,6,0,0,22.7495016495
2023,driver,same_season_prior_normal_plus_previous_season_or_group_prior,raw,OLS,hybrid_shrunk_prior_sample,0.226530272724,1.26852045736,2.63143677171,0.188124461041,-4.93108579983,5.38414634528,0.899796513716,1.637244401,"[-4.93109, 5.38415]","[0.899797, 1.63724]",0.27814551677,0.272028105895,13.1676578054,16.5168278539,-2.36847578587e-16,120,6,0,3,24.2903373831
2023,driver,descriptive_full_season_normal_non_predictive,raw,OLS,descriptive_hybrid_non_predictive,1.99759349872,1.05840144342,2.26533002609,0.142905043872,-2.44245335242,6.43764034986,0.778307557434,1.33849532941,"[-2.44245, 6.43764]","[0.778308, 1.3385]",0.317341677745,0.311556437726,12.8366576236,16.062143732,-8.28966525053e-15,120,6,0,0,24.3413912007
2023,constructor,strict_same_season_prior_normal_walk_forward,raw,OLS,hybrid,6.08023609225,1.02846086397,4.6347097639,0.125542904581,-3.00379504499,15.1642672295,0.782396770992,1.27452495695,"[-3.0038, 15.1643]","[0.782397, 1.27452]",0.53641022662,0.528417299493,17.4978736313,22.2172003599,-4.67773967709e-15,60,6,0,0,58.6772834695
2023,constructor,recency_weighted_same_season_prior_normal_walk_forward,raw,OLS,hybrid_baseline_sensitivity,7.81674976166,0.980826676588,4.62162400109,0.124752912335,-1.24163328049,16.8751328038,0.736310968412,1.22534238476,"[-1.24163, 16.8751]","[0.736311, 1.22534]",0.515914212082,0.507567905394,18.4626786331,22.7030170017,-2.13162820728e-15,60,6,0,0,57.4584295842
2023,constructor,all_prior_weekends_adjusted_by_prior_global_sprint_factor,raw,OLS,hybrid_baseline_sensitivity,6.10650809152,1.0284711617,4.65750601725,0.126384766753,-3.02220370229,15.2352198853,0.780757018866,1.27618530454,"[-3.0222, 15.2352]","[0.780757, 1.27619]",0.533089667995,0.525039489857,17.6529173797,22.296626058,-8.05281767195e-15,60,6,0,0,58.6516735987
2023,constructor,same_season_prior_normal_plus_previous_season_or_group_prior,raw,OLS,hybrid_shrunk_prior_sample,-3.01205284498,1.34541278463,5.9216105369,0.177255400301,-14.6184094973,8.59430380735,0.997992200037,1.69283336922,"[-14.6184, 8.5943]","[0.997992, 1.69283]",0.498321511632,0.489671882523,18.3989956202,23.1118732822,-2.75335310107e-15,60,6,0,0,65.2297872183
2023,constructor,descriptive_full_season_normal_non_predictive,raw,OLS,descriptive_hybrid_non_predictive,2.71702415443,1.09600030609,4.74863307964,0.127027479964,-6.59029668166,12.0243449905,0.847026445362,1.34497416682,"[-6.5903, 12.0243]","[0.847026, 1.34497]",0.562076962153,0.554526564949,17.4226293871,21.5934136582,9.3850853015e-15,60,6,0,0,62.6371832261
