excluded_season,excluded_round,excluded_event,driver_multiplier,constructor_multiplier,change_from_full_driver_estimate,change_from_full_constructor_estimate
2023,4,Azerbaijan Grand Prix,1.35535125036,1.26169099187,0.0128488494532,0.0112368817462
2023,9,Austrian Grand Prix,1.31414197886,1.23145332605,-0.028360422041,-0.0190007840815
2023,12,Belgian Grand Prix,1.34060266898,1.25047379326,-0.00189973192368,1.96831326811e-05
2023,17,Qatar Grand Prix,1.34342225071,1.2529123147,0.000919849810139,0.00245820457039
2023,18,United States Grand Prix,1.34689250515,1.25518826804,0.00439010425176,0.00473415791226
2023,20,São Paulo Grand Prix,1.34819385057,1.25616367661,0.00569144966737,0.00570956648734
2024,5,Chinese Grand Prix,1.33149325107,1.24364593323,-0.0110091498329,-0.00680817689292
2024,6,Miami Grand Prix,1.33843375995,1.2486855442,-0.00406864094969,-0.00176856592164
2024,11,Austrian Grand Prix,1.3340959419,1.24608445467,-0.00840645900171,-0.0043696554552
2024,19,United States Grand Prix,1.33583106912,1.24754756753,-0.0066713317809,-0.00290654259257
2024,21,São Paulo Grand Prix,1.35621881397,1.26250383235,0.0137164130636,0.0120497222254
2024,23,Qatar Grand Prix,1.35231477772,1.25941503853,0.00981237681679,0.0089609284043
2025,2,Chinese Grand Prix,1.34407292342,1.25405029137,0.00157052251794,0.00359618124133
2025,6,Miami Grand Prix,1.35209788682,1.25583854042,0.00959548591419,0.00538443029565
2025,13,Belgian Grand Prix,1.34732628696,1.25096149755,0.00482388605696,0.000507387420223
2025,19,United States Grand Prix,1.34689250515,1.24982352088,0.00439010425176,-0.000630589250709
2025,21,São Paulo Grand Prix,1.34559115974,1.2451090461,0.00308875883615,-0.00534506403029
2025,23,Qatar Grand Prix,1.3510134323,1.25437542756,0.00851103140118,0.00392131743302
2026,2,Chinese Grand Prix,1.32859220796,1.24150877624,-0.0139101929386,-0.0089453338888
2026,4,Miami Grand Prix,1.33600111973,1.24657215896,-0.00650128116713,-0.00388195116766
2026,5,Canadian Grand Prix,1.35822785505,1.26404899609,0.0157254541473,0.0135948859666
2026,9,British Grand Prix,1.32815638962,1.23194103033,-0.0143460112781,-0.0185130797939
