entity,entity_id,current_price,normal_ev,form_percentile,price_percentile,selected_strength,group_bonus,final_sprint_bonus
Alpine,alpine,18.9,25.5833333333,0.545454545455,0.636363636364,0.568181818182,9.1795173003,9.1795173003
Aston Martin,aston_martin,6.3,-6.75,0.0909090909091,0.181818181818,0.113636363636,2.62996582657,2.62996582657
Audi,audi,7.4,14.6363636364,0.454545454545,0.272727272727,0.409090909091,6.88717428449,6.88717428449
Cadillac,cadillac,3,-6.72727272727,0.181818181818,0.0909090909091,0.159090909091,3.28492097394,3.28492097394
Ferrari,ferrari,26.9,63.1666666667,0.909090909091,0.727272727273,0.863636363636,13.4367257582,13.4367257582
Haas F1 Team,haas,11.4,12.25,0.363636363636,0.363636363636,0.363636363636,6.23221913712,6.23221913712
McLaren,mclaren,31.3,44.5,0.818181818182,0.909090909091,0.840909090909,13.1092481845,13.1092481845
Mercedes,mercedes,32.9,72.1666666667,1,1,1,15.4015912003,15.4015912003
Racing Bulls,rb,13.5,28.3333333333,0.636363636364,0.545454545455,0.613636363636,9.83447244767,9.83447244767
Red Bull Racing,red_bull,31.2,40.4166666667,0.727272727273,0.818181818182,0.75,11.7993378898,11.7993378898
Williams,williams,13.2,9.36363636364,0.272727272727,0.454545454545,0.318181818182,5.57726398975,5.57726398975
