entity,entity_id,observed_sprint_count,observed_mean_sprint_bonus,observed_median_sprint_bonus,selected_strength,group_bonus,personal_residual_mean,personal_mean_noise_variance,tau_asset_squared,within_residual_variance,empirical_bayes_weight,personal_mean_contribution,group_contribution,final_sprint_bonus
Alexander Albon,albon,5,6.4,6,-1.05057441192,2.32538763799,4.07461236201,4.835,5.2733382916,24.175,0.52168201533,3.33876489811,1.11227472858,4.45103962669
Arvid Lindblad,arvid_lindblad,4,-2,-1,-0.267695021802,4.09980966926,-6.09980966926,6.04375,5.2733382916,24.175,0.465962459223,-0.931924918446,2.18945227343,1.25752735498
Carlos Sainz,sainz,3,6.33333333333,4,-0.400118237791,3.79966807035,2.53366526298,8.05833333333,5.2733382916,24.175,0.395549668486,2.50514790041,2.29671062477,4.80185852518
Charles Leclerc,leclerc,5,10.4,8,1.39800580824,7.87517569326,2.52482430674,4.835,5.2733382916,24.175,0.52168201533,5.42549295943,3.76683816652,9.19233112595
Esteban Ocon,ocon,5,5.8,6,-0.248955887464,4.14228253703,1.65771746297,4.835,5.2733382916,24.175,0.52168201533,3.02575568891,1.98132823505,5.00708392396
Fernando Alonso,alonso,5,3.6,6,-0.783368237103,2.931019271,0.668980728999,4.835,5.2733382916,24.175,0.52168201533,1.87805525519,1.40195923073,3.28001448592
Franco Colapinto,colapinto,5,4.8,7,0.00714561515497,4.72274506322,0.0772549367792,4.835,5.2733382916,24.175,0.52168201533,2.50407367358,2.25897390075,4.76304757433
Gabriel Bortoleto,bortoleto,4,0.25,2.5,-0.334323055004,3.9487950283,-3.6987950283,6.04375,5.2733382916,24.175,0.465962459223,0.116490614806,2.10880478595,2.22529540075
George Russell,russell,5,10.6,10,1.25642123769,7.55426958122,3.04573041878,4.835,5.2733382916,24.175,0.52168201533,5.5298293625,3.61334300174,9.14317236424
Isack Hadjar,hadjar,4,-0.25,3,0.290314756262,5.3645572873,-5.6145572873,6.04375,5.2733382916,24.175,0.465962459223,-0.116490614806,2.86487498107,2.74838436626
Kimi Antonelli,antonelli,5,9.4,11,2.33149231508,9.99095373587,-0.590953735868,4.835,5.2733382916,24.175,0.52168201533,4.9038109441,4.77885285587,9.68266379997
Lance Stroll,stroll,5,4.6,3,-1.73004154218,0.785352914031,3.81464708597,4.835,5.2733382916,24.175,0.52168201533,2.39973727052,0.375648423094,2.77538569361
Lando Norris,norris,5,10.2,10,0.911482357466,6.77245420041,3.42754579959,4.835,5.2733382916,24.175,0.52168201533,5.32115655637,3.23938664441,8.56054320078
Lewis Hamilton,hamilton,5,6,4,1.70546641979,8.57204533852,-2.57204533852,4.835,5.2733382916,24.175,0.52168201533,3.13009209198,4.10016345082,7.2302555428
Liam Lawson,lawson,4,8.75,8.5,-0.0927964346477,4.49622310178,4.25377689822,6.04375,5.2733382916,24.175,0.465962459223,4.0771715182,2.40115192806,6.47832344626
Max Verstappen,max_verstappen,5,5.8,3,0.880944508915,6.70323915664,-0.903239156641,4.835,5.2733382916,24.175,0.52168201533,3.02575568891,3.20627984416,6.23203553308
Nico Hulkenberg,hulkenberg,5,-4.2,-3,-0.913154093444,2.63685533496,-6.83685533496,4.835,5.2733382916,24.175,0.52168201533,-2.19106446439,1.26125532969,-0.9298091347
Oliver Bearman,bearman,5,4,4,-0.592506683661,3.36361329458,0.636386705417,4.835,5.2733382916,24.175,0.52168201533,2.08672806132,1.60887673227,3.69560479359
Oscar Piastri,piastri,5,6.6,7,0.262553075762,5.30163452023,1.29836547977,4.835,5.2733382916,24.175,0.52168201533,3.44310130118,2.53586713917,5.97896844035
Pierre Gasly,gasly,4,3.5,4,0.0404596317558,4.7982523837,-1.2982523837,6.04375,5.2733382916,24.175,0.465962459223,1.63086860728,2.56244690302,4.1933155103
Sergio Perez,perez,5,2.8,4,-0.874981782756,2.72337413968,0.0766258603189,4.835,5.2733382916,24.175,0.52168201533,1.46070964292,1.30263882999,2.76334847292
Valtteri Bottas,bottas,5,0.4,1,-1.47810429163,1.35637702516,-0.95637702516,4.835,5.2733382916,24.175,0.52168201533,0.208672806132,0.648779525127,0.857452331259
Yuki Tsunoda,tsunoda,1,-1,-1,-0.317666046704,3.98654868854,-4.98654868854,24.175,5.2733382916,24.175,0.179070826998,-0.179070826998,3.27267411802,3.09360329102
