entity,entity_type,entity_id,current_price,normal_ev,form_percentile,price_percentile,observed_sprint_count,observed_mean_sprint_bonus,observed_median_sprint_bonus,selected_strength_definition,selected_strength,group_bonus,empirical_bayes_weight,personal_mean_contribution,group_contribution,final_sprint_bonus,normal_weekend_ev,sprint_weekend_ev,absolute_sprint_uplift,effective_multiplier,effective_multiplier_status,constant_bonus_candidate,strength_only_candidate,personal_mean_candidate,shrunk_personal_mean_candidate,full_partial_pooling_candidate,future_event_effect
Mercedes,constructor,mercedes,32.9,72.1666666667,1,1,5,20,21,blend_form_0.75_price_0.25,1,15.4015912003,,,,15.4015912003,72.1666666667,87.568257867,15.4015912003,1.21341696813,defined,9.01886792453,15.4015912003,20,17.9892659421,17.96274268,0
Ferrari,constructor,ferrari,26.9,63.1666666667,0.909090909091,0.727272727273,5,16.4,12,blend_form_0.75_price_0.25,0.863636363636,13.4367257582,,,,13.4367257582,63.1666666667,76.6033924249,13.4367257582,1.21271861359,defined,9.01886792453,13.4367257582,16.4,15.104256907,15.51183948,0
McLaren,constructor,mclaren,31.3,44.5,0.818181818182,0.909090909091,5,16.8,15,blend_form_0.75_price_0.25,0.840909090909,13.1092481845,,,,13.1092481845,44.5,57.6092481845,13.1092481845,1.29458984684,defined,9.01886792453,13.1092481845,16.8,15.1861547118,14.34457068,0
Red Bull Racing,constructor,red_bull,31.2,40.4166666667,0.727272727273,0.818181818182,5,5.6,6,blend_form_0.75_price_0.25,0.75,11.7993378898,,,,11.7993378898,40.4166666667,52.2160045565,11.7993378898,1.29194238078,defined,9.01886792453,11.7993378898,5.6,8.31076808835,12.62820508,0
Racing Bulls,constructor,rb,13.5,28.3333333333,0.636363636364,0.545454545455,5,5.2,10,blend_form_0.75_price_0.25,0.613636363636,9.83447244767,,,,9.83447244767,28.3333333333,38.167805781,9.83447244767,1.34709902756,defined,9.01886792453,9.83447244767,5.2,7.2265035139,9.81003308,0
Alpine,constructor,alpine,18.9,25.5833333333,0.545454545455,0.636363636364,5,7.6,9,blend_form_0.75_price_0.25,0.568181818182,9.1795173003,,,,9.1795173003,25.5833333333,34.7628506336,9.1795173003,1.35880849382,defined,9.01886792453,9.1795173003,7.6,8.29067135374,9.91821588,0
Audi,constructor,audi,7.4,14.6363636364,0.454545454545,0.272727272727,5,-6,1,blend_form_0.75_price_0.25,0.409090909091,6.88717428449,,,,6.88717428449,14.6363636364,21.5235379209,6.88717428449,1.47055228031,defined,9.01886792453,6.88717428449,-6,-0.364859373617,4.250043878,0
Haas F1 Team,constructor,haas,11.4,12.25,0.363636363636,0.363636363636,5,9.8,12,blend_form_0.75_price_0.25,0.363636363636,6.23221913712,,,,6.23221913712,12.25,18.4822191371,6.23221913712,1.50875258262,defined,9.01886792453,6.23221913712,9.8,8.23992589511,8.567312679,0
Williams,constructor,williams,13.2,9.36363636364,0.272727272727,0.454545454545,4,11,7.5,blend_form_0.75_price_0.25,0.318181818182,5.57726398975,,,,5.57726398975,9.36363636364,14.9409003534,5.57726398975,1.59563013483,defined,9.01886792453,5.57726398975,11,8.32810168116,7.710140246,0
Cadillac,constructor,cadillac,3,-6.72727272727,0.181818181818,0.0909090909091,4,4,3,blend_form_0.75_price_0.25,0.159090909091,3.28492097394,,,,3.28492097394,-6.72727272727,-3.44235175333,3.28492097394,,undefined,9.01886792453,3.28492097394,4,3.64766522952,3.715506276,0
Aston Martin,constructor,aston_martin,6.3,-6.75,0.0909090909091,0.181818181818,5,8.2,10,blend_form_0.75_price_0.25,0.113636363636,2.62996582657,,,,2.62996582657,-6.75,-4.12003417343,2.62996582657,,undefined,9.01886792453,2.62996582657,8.2,5.76440588386,3.881871876,0
Kimi Antonelli,driver,antonelli,26,34.9166666667,1,0.869565217391,5,9.4,11,z_form,2.33149231508,9.99095373587,0.52168201533,4.9038109441,4.77885285587,9.68266379997,34.9166666667,44.5993304666,9.68266379997,1.27730779379,defined,4.75961538462,9.99095373587,9.4,9.68266379997,10.24209651,0
Lewis Hamilton,driver,hamilton,25.1,28.0833333333,0.95652173913,0.826086956522,5,6,4,z_form,1.70546641979,8.57204533852,0.52168201533,3.13009209198,4.10016345082,7.2302555428,28.0833333333,35.3135888761,7.2302555428,1.25745717066,defined,4.75961538462,8.57204533852,6,7.2302555428,8.05823146,0
Charles Leclerc,driver,leclerc,24.2,24.7272727273,0.913043478261,0.782608695652,5,10.4,8,z_form,1.39800580824,7.87517569326,0.52168201533,5.42549295943,3.76683816652,9.19233112595,24.7272727273,33.9196038532,9.19233112595,1.37174868524,defined,4.75961538462,7.87517569326,10.4,9.19233112595,9.466704345,0
George Russell,driver,russell,27.6,23.1818181818,0.869565217391,1,5,10.6,10,z_form,1.25642123769,7.55426958122,0.52168201533,5.5298293625,3.61334300174,9.14317236424,23.1818181818,32.3249905461,9.14317236424,1.39441135689,defined,4.75961538462,7.55426958122,10.6,9.14317236424,9.603351371,0
Lando Norris,driver,norris,26.4,19.4166666667,0.826086956522,0.913043478261,5,10.2,10,z_form,0.911482357466,6.77245420041,0.52168201533,5.32115655637,3.23938664441,8.56054320078,19.4166666667,27.9772098674,8.56054320078,1.4408863451,defined,4.75961538462,6.77245420041,10.2,8.56054320078,8.465389593,0
Max Verstappen,driver,max_verstappen,27.5,19.0833333333,0.782608695652,0.95652173913,5,5.8,3,z_form,0.880944508915,6.70323915664,0.52168201533,3.02575568891,3.20627984416,6.23203553308,19.0833333333,25.3153688664,6.23203553308,1.32656954758,defined,4.75961538462,6.70323915664,5.8,6.23203553308,7.143102441,0
Oscar Piastri,driver,piastri,24.1,12.3333333333,0.695652173913,0.739130434783,5,6.6,7,z_form,0.262553075762,5.30163452023,0.52168201533,3.44310130118,2.53586713917,5.97896844035,12.3333333333,18.3123017737,5.97896844035,1.48478122489,defined,4.75961538462,5.30163452023,6.6,5.97896844035,6.565780789,0
Isack Hadjar,driver,hadjar,13.9,12.6363636364,0.739130434783,0.652173913043,4,-0.25,3,z_form,0.290314756262,5.3645572873,0.465962459223,-0.116490614806,2.86487498107,2.74838436626,12.6363636364,15.3847480026,2.74838436626,1.21749804337,defined,4.75961538462,5.3645572873,-0.25,2.74838436626,2.775092918,0
