season,round,event_name,event_date,weekend_format,driver_rows,driver_active_asset_count,driver_total_points,driver_mean_points_per_asset,driver_median_points_per_asset,driver_min_points,driver_max_points,driver_negative_score_count,driver_zero_score_count,constructor_rows,constructor_active_asset_count,constructor_total_points,constructor_mean_points_per_asset,constructor_median_points_per_asset,constructor_min_points,constructor_max_points,constructor_negative_score_count,constructor_zero_score_count,driver_event_mean_zscore,driver_extreme_event,constructor_event_mean_zscore,constructor_extreme_event
2026,1,Australian Grand Prix,2026-03-08,normal,22,22,201.0,9.136363636363637,9.0,-23.0,50.0,6,0,10,10,286.0,28.6,28.0,-38.0,96.0,2,0,-0.6523002343925351,False,-0.31562777638912964,False
2026,2,Chinese Grand Prix,2026-03-15,sprint,22,22,382.0,17.363636363636363,18.5,-14.0,68.0,6,0,11,11,452.0,41.09090909090909,45.0,-20.0,119.0,3,0,1.7007721854610205,False,1.3317513869866167,False
2026,3,Japanese Grand Prix,2026-03-29,normal,22,22,245.0,11.136363636363637,7.0,-17.0,50.0,3,0,11,11,328.0,29.818181818181817,23.0,-12.0,92.0,2,0,-0.08028262956625637,False,-0.15496634415306745,False
2026,4,Miami Grand Prix,2026-05-03,sprint,22,22,348.0,15.818181818181818,18.0,-29.0,54.0,5,0,11,11,421.0,38.27272727272727,31.0,-27.0,110.0,1,0,1.2587585817316234,False,0.9600719542016956,False
2026,5,Canadian Grand Prix,2026-05-24,sprint,22,22,246.0,11.181818181818182,10.5,-26.0,62.0,4,0,11,11,314.0,28.545454545454547,22.0,-14.0,76.0,1,0,-0.06728222945656837,False,-0.3228215718623862,False
2026,6,Monaco Grand Prix,2026-06-07,normal,20,20,122.0,6.1,8.5,-20.0,55.0,7,0,11,11,202.0,18.363636363636363,18.0,-13.0,70.0,3,0,-1.520726961719704,False,-1.6656633935369394,False
2026,7,Barcelona Grand Prix,2026-06-14,normal,21,21,166.0,7.904761904761905,9.0,-20.0,56.0,6,0,11,11,254.0,23.09090909090909,26.0,-36.0,67.0,2,0,-1.004549170697895,False,-1.0422011191880398,False
2026,8,Austrian Grand Prix,2026-06-28,normal,22,22,188.0,8.545454545454545,7.0,-17.0,43.0,4,0,11,11,293.0,26.636363636363637,21.0,-35.0,85.0,3,0,-0.8213054358184814,False,-0.574604413426365,False
2026,9,British Grand Prix,2026-07-05,sprint,22,22,384.0,17.454545454545453,18.5,-13.0,54.0,3,0,10,10,475.0,47.5,43.0,13.0,92.0,0,0,1.7267729856803966,False,2.177022355094259,True
2026,10,Belgian Grand Prix,2026-07-19,normal,22,22,244.0,11.090909090909092,8.0,-19.0,40.0,3,0,11,11,320.0,29.09090909090909,19.0,-17.0,79.0,2,0,-0.09328302967594439,False,-0.25088361712982116,False
2026,11,Hungarian Grand Prix,2026-07-26,normal,22,22,234.0,10.636363636363637,9.5,-20.0,39.0,3,0,11,11,351.0,31.90909090909091,36.0,-37.0,71.0,1,0,-0.22328703077282608,False,0.1207958156551,False
2026,12,Dutch Grand Prix,2026-08-23,sprint,22,22,234.0,10.636363636363637,7.0,-18.0,57.0,5,0,11,11,319.0,29.0,19.0,-20.0,84.0,2,0,-0.22328703077282608,False,-0.26287327625191526,False
