parameter,old_active,old_weekends_current_market,new_active,market_only_change,latest_weekend_change,total_change
driver.form_mean,9.74398530762,9.74398530762,9.4674571805,0,-0.276528127121,-0.276528127121
driver.form_sd,11.2587875282,11.2587875282,10.9154164144,0,-0.343371113743,-0.343371113743
driver.group_intercept,5.16733731513,5.16733731513,4.70654929013,0,-0.460788024993,-0.460788024993
driver.group_slope,2.32888212097,2.32888212097,2.26653307479,0,-0.0623490461816,-0.0623490461816
driver.within_variance,26.3787878788,26.3787878788,24.175,0,-2.20378787879,-2.20378787879
driver.tau_squared,4.71034856586,4.71034856586,5.2733382916,0,0.562989725745,0.562989725745
constructor.intercept,0.941047805698,1.11658224695,0.992577958138,0.175534441251,-0.124004288811,0.05153015244
constructor.slope,16.2108910198,15.8766088184,14.4090132422,-0.334282201407,-1.4675955762,-1.8018777776
constructor.form_weight,0.75,0.75,0.75,0,0,0
constructor.price_weight,0.25,0.25,0.25,0,0,0
constructor.future_event_effect,0,0,0,0,0,0
