driver,old_count,new_count,old_mean,new_mean
albon,4,5,7.75,6.4
alonso,4,5,2.5,3.6
antonelli,4,5,10.0,9.4
arvid_lindblad,4,4,-2.0,-2.0
bearman,4,5,4.0,4.0
bortoleto,4,4,0.25,0.25
bottas,4,5,0.25,0.4
colapinto,4,5,5.5,4.8
gasly,3,4,4.333333333333333,3.5
hadjar,4,4,-0.25,-0.25
hamilton,4,5,7.0,6.0
hulkenberg,4,5,-2.75,-4.2
lawson,4,4,8.75,8.75
leclerc,4,5,10.75,10.4
max_verstappen,4,5,6.5,5.8
norris,4,5,10.25,10.2
ocon,4,5,6.75,5.8
perez,4,5,3.75,2.8
piastri,4,5,7.5,6.6
russell,4,5,11.25,10.6
sainz,2,3,8.0,6.333333333333333
stroll,4,5,5.25,4.6
tsunoda,0,1,,-1.0
