season,round,event_name,event_date,entity_type,entity_id,entity_name,total_fantasy_points,sprint_points,sprint_qualifying_points,extra_sprint_points,base_weekend_points,current_price,data_source,observation_valid,exclusion_reason
2026,2,Chinese Grand Prix,2026-03-15,constructor,alpine,Alpine,45.0,9.0,,9.0,36.0,18.9,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,constructor,alpine,Alpine,17.0,3.0,,3.0,14.0,18.9,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,constructor,alpine,Alpine,46.0,11.0,,11.0,35.0,18.9,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,constructor,alpine,Alpine,53.0,12.0,,12.0,41.0,18.9,Formula 1 Fantasy playerstats,True,
2026,12,Dutch Grand Prix,2026-08-23,constructor,alpine,Alpine,19.0,3.0,,3.0,16.0,18.9,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,constructor,aston_martin,Aston Martin,-20.0,11.0,,11.0,-31.0,6.3,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,constructor,aston_martin,Aston Martin,38.0,20.0,,20.0,18.0,6.3,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,constructor,aston_martin,Aston Martin,-14.0,-6.0,,-6.0,-8.0,6.3,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,constructor,aston_martin,Aston Martin,16.0,6.0,,6.0,10.0,6.3,Formula 1 Fantasy playerstats,True,
2026,12,Dutch Grand Prix,2026-08-23,constructor,aston_martin,Aston Martin,18.0,10.0,,10.0,8.0,6.3,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,constructor,audi,Audi,-4.0,3.0,,3.0,-7.0,7.4,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,constructor,audi,Audi,-27.0,-30.0,,-30.0,3.0,7.4,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,constructor,audi,Audi,11.0,1.0,,1.0,10.0,7.4,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,constructor,audi,Audi,17.0,6.0,,6.0,11.0,7.4,Formula 1 Fantasy playerstats,True,
2026,12,Dutch Grand Prix,2026-08-23,constructor,audi,Audi,25.0,-10.0,,-10.0,35.0,7.4,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,constructor,cadillac,Cadillac,22.0,1.0,,1.0,21.0,3.0,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,constructor,cadillac,Cadillac,24.0,5.0,,5.0,19.0,3.0,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,constructor,cadillac,Cadillac,2.0,11.0,,11.0,-9.0,3.0,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,constructor,cadillac,Cadillac,13.0,-1.0,,-1.0,14.0,3.0,Formula 1 Fantasy playerstats,True,
2026,12,Dutch Grand Prix,2026-08-23,constructor,cadillac,Cadillac,-9.0,,,,,3.0,Formula 1 Fantasy playerstats,False,both_sprint_components_missing
2026,2,Chinese Grand Prix,2026-03-15,constructor,ferrari,Ferrari,119.0,36.0,,36.0,83.0,26.9,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,constructor,ferrari,Ferrari,57.0,12.0,,12.0,45.0,26.9,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,constructor,ferrari,Ferrari,69.0,9.0,,9.0,60.0,26.9,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,constructor,ferrari,Ferrari,92.0,14.0,,14.0,78.0,26.9,Formula 1 Fantasy playerstats,True,
2026,12,Dutch Grand Prix,2026-08-23,constructor,ferrari,Ferrari,74.0,11.0,,11.0,63.0,26.9,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,constructor,haas,Haas F1 Team,65.0,14.0,,14.0,51.0,11.4,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,constructor,haas,Haas F1 Team,23.0,12.0,,12.0,11.0,11.4,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,constructor,haas,Haas F1 Team,19.0,5.0,,5.0,14.0,11.4,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,constructor,haas,Haas F1 Team,33.0,12.0,,12.0,21.0,11.4,Formula 1 Fantasy playerstats,True,
2026,12,Dutch Grand Prix,2026-08-23,constructor,haas,Haas F1 Team,-20.0,6.0,,6.0,-26.0,11.4,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,constructor,mclaren,McLaren,-7.0,12.0,,12.0,-19.0,31.3,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,constructor,mclaren,McLaren,110.0,22.0,,22.0,88.0,31.3,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,constructor,mclaren,McLaren,33.0,15.0,,15.0,18.0,31.3,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,constructor,mclaren,McLaren,72.0,22.0,,22.0,50.0,31.3,Formula 1 Fantasy playerstats,True,
2026,12,Dutch Grand Prix,2026-08-23,constructor,mclaren,McLaren,80.0,13.0,,13.0,67.0,31.3,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,constructor,mercedes,Mercedes,115.0,23.0,,23.0,92.0,32.9,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,constructor,mercedes,Mercedes,104.0,11.0,,11.0,93.0,32.9,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,constructor,mercedes,Mercedes,76.0,21.0,,21.0,55.0,32.9,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,constructor,mercedes,Mercedes,92.0,30.0,,30.0,62.0,32.9,Formula 1 Fantasy playerstats,True,
2026,12,Dutch Grand Prix,2026-08-23,constructor,mercedes,Mercedes,84.0,15.0,,15.0,69.0,32.9,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,constructor,rb,Racing Bulls,50.0,10.0,,10.0,40.0,13.5,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,constructor,rb,Racing Bulls,2.0,-6.0,,-6.0,8.0,13.5,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,constructor,rb,Racing Bulls,22.0,13.0,,13.0,9.0,13.5,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,constructor,rb,Racing Bulls,55.0,10.0,,10.0,45.0,13.5,Formula 1 Fantasy playerstats,True,
2026,12,Dutch Grand Prix,2026-08-23,constructor,rb,Racing Bulls,22.0,-1.0,,-1.0,23.0,13.5,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,constructor,red_bull,Red Bull Racing,45.0,18.0,,18.0,27.0,31.2,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,constructor,red_bull,Red Bull Racing,31.0,9.0,,9.0,22.0,31.2,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,constructor,red_bull,Red Bull Racing,44.0,-8.0,,-8.0,52.0,31.2,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,constructor,red_bull,Red Bull Racing,32.0,6.0,,6.0,26.0,31.2,Formula 1 Fantasy playerstats,True,
2026,12,Dutch Grand Prix,2026-08-23,constructor,red_bull,Red Bull Racing,11.0,3.0,,3.0,8.0,31.2,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,constructor,williams,Williams,22.0,25.0,,25.0,-3.0,13.2,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,constructor,williams,Williams,42.0,9.0,,9.0,33.0,13.2,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,constructor,williams,Williams,6.0,6.0,,6.0,0.0,13.2,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,constructor,williams,Williams,,,,,,13.2,missing,False,missing_canonical_event_asset_row
2026,12,Dutch Grand Prix,2026-08-23,constructor,williams,Williams,15.0,4.0,,4.0,11.0,13.2,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,driver,albon,Alexander Albon,-7.0,13.0,,13.0,-20.0,5.2,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,driver,albon,Alexander Albon,20.0,5.0,,5.0,15.0,5.2,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,driver,albon,Alexander Albon,-8.0,6.0,,6.0,-14.0,5.2,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,driver,albon,Alexander Albon,-13.0,7.0,,7.0,-20.0,5.2,Formula 1 Fantasy playerstats,True,
2026,12,Dutch Grand Prix,2026-08-23,driver,albon,Alexander Albon,2.0,1.0,,1.0,1.0,5.2,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,driver,alonso,Fernando Alonso,-7.0,6.0,,6.0,-13.0,6.8,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,driver,alonso,Fernando Alonso,20.0,10.0,,10.0,10.0,6.8,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,driver,alonso,Fernando Alonso,-26.0,-9.0,,-9.0,-17.0,6.8,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,driver,alonso,Fernando Alonso,8.0,3.0,,3.0,5.0,6.8,Formula 1 Fantasy playerstats,True,
2026,12,Dutch Grand Prix,2026-08-23,driver,alonso,Fernando Alonso,24.0,8.0,,8.0,16.0,6.8,Formula 1 Fantasy playerstats,True,
