source,season,drivers,constructors,race_by_race,score_breakdown,prices,official_or_third_party,verified,limitations,source_location
Official public playerstats feed,2021,No,No,No,No,No,Official,"Yes - tested parameter family","season=2025 was ignored and returned the byte-equivalent 2026 Value; lower years were not repeated after the family was proven ignored",https://fantasy.formula1.com/feeds/popup/playerstats_18.json?season=2025
Official public playerstats feed,2022,No,No,No,No,No,Official,"Yes - tested parameter family","season_name=2025 was ignored and returned the 2026 Value; no historical selector is present in current frontend source",https://fantasy.formula1.com/feeds/popup/playerstats_18.json?season_name=2025
Official public playerstats feed,2023,No,No,No,No,No,Official,"Yes - tested parameter family","year=2025 was ignored and returned the 2026 Value; no historical selector is present in current frontend source",https://fantasy.formula1.com/feeds/popup/playerstats_18.json?year=2025
Official public playerstats feed,2024,No,No,No,No,No,Official,"Yes - tested parameter family","All supported-looking year parameter families returned the same 2026 Value",scripts/api_probe/playerstats_historical_variants.json
Official public playerstats feed,2025,No,No,No,No,No,Official,Yes,"Requested 2025 is absent from the payload; response explicitly contains Season 2026",scripts/api_probe/playerstats_historical_variants.json
Official public playerstats feed,2026,Yes,Yes,Yes,Yes,Yes,Official,Yes,"Active season only; 12 gameday records at probe time; global cross-season ID stability is unproven",scripts/api_probe/fixtures
Official bulk statistics feed,2026,Yes,Yes,No,No,No,Official,Yes,"Aggregate current-season statistical categories; not race-by-race fantasy scores",https://fantasy.formula1.com/feeds/v2/statistics/driverconstructors_4.json
F1 Fantasy Tools Statistics,2021,No,No,No,No,No,Third-party,"Yes - frontend capability inspected","Frontend defines 2023 as its first Statistics season; no 2021 selector is exposed",https://f1fantasytools.com/statistics
F1 Fantasy Tools Statistics,2022,No,No,No,No,No,Third-party,"Yes - frontend capability inspected","Frontend defines 2023 as its first Statistics season; no 2022 selector is exposed",https://f1fantasytools.com/statistics
F1 Fantasy Tools Statistics,2023,Yes,Yes,Yes,Yes,Yes,Third-party,Yes,"22 populated race results; public JSON was inspected but not retained because no dataset reuse licence was identified",https://f1fantasytools.com/api/statistics/2023
F1 Fantasy Tools Statistics,2024,Yes,Yes,Yes,Yes,Yes,Third-party,Yes,"24 populated race results; public JSON was inspected but not retained because no dataset reuse licence was identified",https://f1fantasytools.com/api/statistics/2024
F1 Fantasy Tools Statistics,2025,Yes,Yes,Yes,Yes,Yes,Third-party,Yes,"24 populated race results; public JSON was inspected but not retained because no dataset reuse licence was identified",https://f1fantasytools.com/api/statistics/2025
Kaggle Formula1 Fantasy 2021,2021,Yes,Yes,Yes,Partial,Yes,Third-party,Yes,"CC0; 22 race files plus price histories; 23/440 driver and 14/220 constructor totals disagree with the independent GitHub record",scripts/api_probe/raw-data/kaggle_formula_1_fantasy_2021
jm1261 Fantasy-F1-League,2021,Yes,Yes,Yes,No,No,Third-party,Yes,"MIT; 20 drivers and 10 constructors across 22 races; conflicts with the Kaggle record on a minority of observations",scripts/api_probe/raw-data/github_jm1261_fantasy_f1_league/Data/2021/Lineup
jm1261 Fantasy-F1-League,2022,Yes,Yes,Yes,No,No,Third-party,Yes,"MIT; 20 drivers and 10 constructors across 22 races; individual scores exactly reproduce stored cumulative totals",scripts/api_probe/raw-data/github_jm1261_fantasy_f1_league/Data/2022/Lineup
EduardoFAFernandes F1FantasyData,2021,Yes,Yes,No,No,Yes,Third-party,Yes,"GPL-3.0 repository; author states 2021 price history is very incomplete; no fantasy score files",https://github.com/EduardoFAFernandes/F1FantasyData/blob/main/2021/prices.csv
EduardoFAFernandes F1FantasyData,2022,Yes,Yes,No,No,Yes,Third-party,Yes,"GPL-3.0 price snapshots; no fantasy score files",https://github.com/EduardoFAFernandes/F1FantasyData/blob/main/2022/prices.csv
JoshCBruce fantasy-data,2025,Yes,Yes,Yes,Yes,Yes,Third-party,Yes,"Official-site scrape with detailed totals and components; no repository licence found so samples were inspected but no raw dataset was retained",https://github.com/JoshCBruce/fantasy-data
Internet Archive CDX,2021-2025,No,No,No,No,No,Archive index,Yes,"Tested playerstats and legacy game-period-score URL patterns returned zero captures; 200 archived frontend JavaScript captures were found; this is not an exhaustive archive claim",scripts/api_probe/public_archive_search_results.json
Repository reconstruction pipeline,2021-2025,Yes,Yes,Yes,Partial,No,Reconstructed,Yes,"Derived from motorsport results rather than official Fantasy payloads; known omissions and scoring-rule/version uncertainty prevent exact classification",f1fantasy/model.py
