request_number,requested_at_utc,family,purpose,season,asset_type,player_id,player_id_source,game_period_id,game_period_id_source,url,http_status,content_type,response_length,valid_json,top_level_json_keys,response_preview,authentication_appears_necessary,contains_expected_season,contains_scoring_information,classification,diagnostic
1,2026-08-05T20:03:58.642817+00:00,current_public_market,players_metadata,2026,,,,,,https://fantasy.formula1.com/feeds/drivers/1_en.json,200,application/json; charset=utf-8,67046,True,"[""Data"", ""Meta""]","{""Data"": {""FeedTime"": {""CESTTime"": ""3/8/2026 10:11:40 AM"", ""ISTTime"": ""3/8/2026 2:41:40 PM"", ""UTCTime"": ""3/8/2026 9:11:40 AM""}, ""Value"": [{""..."": ""[TRUNCATED]"", ""DisplayName"": ""[TRUNCATED]"", ""DriverReference"": ""[TRUNCATED]"", ""DriverTLA"": ""[TRUNCATED]"", ""FUllName"": ""[TRUNCATED]"", ""IsActive"": ""[TRUNCATED]"", ""PlayerId"": ""[TRUNCATED]"", ""PositionName"": ""[TRUNCATED]"", ""Skill"": ""[TRUNCATED]"", ""Status"": ""[TRUNCATED]"", ""TeamId"": ""[TRUNCATED]"", ""TeamName"": ""[TRUNCATED]"", ""Value"": ""[TRUNCATED]""}, {""..."": """,False,False,True,B_metadata_only,"The endpoint returned JSON metadata, without confirmed requested-season scores."
2,2026-08-05T20:03:59.652899+00:00,current_public_playerstats,historical_scores,2026,driver,18,current public drivers feed,,,https://fantasy.formula1.com/feeds/popup/playerstats_18.json,200,application/json; charset=utf-8,65423,True,"[""FeedTime"", ""Value""]","{""FeedTime"": {""CESTTime"": ""8/5/2026 9:55:43 PM"", ""ISTTime"": ""8/6/2026 1:25:43 AM"", ""UTCTime"": ""8/5/2026 7:55:43 PM""}, ""Value"": {""FixtureWiseStats"": [{""GamedayId"": ""[TRUNCATED]"", ""RaceDayWise"": ""[TRUNCATED]"", ""TourId"": ""[TRUNCATED]""}, {""GamedayId"": ""[TRUNCATED]"", ""RaceDayWise"": ""[TRUNCATED]"", ""TourId"": ""[TRUNCATED]""}, {""GamedayId"": ""[TRUNCATED]"", ""RaceDayWise"": ""[TRUNCATED]"", ""TourId"": ""[TRUNCATED]""}], ""GamedayWiseStats"": [{""GamedayId"": ""[TRUNCATED]"", ""IsActive"": ""[TRUNCATED]"", ""IsPlayed"": ""[TRUN",False,True,True,A_historical_scores_confirmed,Inspected JSON contains scoring fields and the requested season.
3,2026-08-05T20:04:00.661426+00:00,current_public_playerstats,historical_scores,2026,constructor,28,current public drivers feed,,,https://fantasy.formula1.com/feeds/popup/playerstats_28.json,200,application/json; charset=utf-8,76337,True,"[""FeedTime"", ""Value""]","{""FeedTime"": {""CESTTime"": ""8/5/2026 9:55:45 PM"", ""ISTTime"": ""8/6/2026 1:25:45 AM"", ""UTCTime"": ""8/5/2026 7:55:45 PM""}, ""Value"": {""FixtureWiseStats"": [{""GamedayId"": ""[TRUNCATED]"", ""RaceDayWise"": ""[TRUNCATED]"", ""TourId"": ""[TRUNCATED]""}, {""GamedayId"": ""[TRUNCATED]"", ""RaceDayWise"": ""[TRUNCATED]"", ""TourId"": ""[TRUNCATED]""}, {""GamedayId"": ""[TRUNCATED]"", ""RaceDayWise"": ""[TRUNCATED]"", ""TourId"": ""[TRUNCATED]""}], ""GamedayWiseStats"": [{""GamedayId"": ""[TRUNCATED]"", ""IsActive"": ""[TRUNCATED]"", ""IsPlayed"": ""[TRUN",False,True,True,A_historical_scores_confirmed,Inspected JSON contains scoring fields and the requested season.
4,2026-08-05T20:04:01.667317+00:00,partner_players,players_metadata,2021,,,,,,https://fantasy-api.formula1.com/partner_games/f1/2021/players?v=1,,,0,False,[],"ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /partner_games/f1/2021/players?v=1 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))",False,False,False,D_transport_or_endpoint_failure,"No HTTP response was received. ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /partner_games/f1/2021/players?v=1 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))"
5,2026-08-05T20:04:02.668339+00:00,partner_season_metadata,season_metadata,2021,,,,,,https://fantasy-api.formula1.com/partner_games/f1/2021,,,0,False,[],"ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /partner_games/f1/2021 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))",False,False,False,D_transport_or_endpoint_failure,"No HTTP response was received. ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /partner_games/f1/2021 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))"
6,2026-08-05T20:04:03.670139+00:00,partner_game_periods,game_period_metadata,2021,,,,,,https://fantasy-api.formula1.com/partner_games/f1/2021/game_periods,,,0,False,[],"ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /partner_games/f1/2021/game_periods (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))",False,False,False,D_transport_or_endpoint_failure,"No HTTP response was received. ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /partner_games/f1/2021/game_periods (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))"
7,2026-08-05T20:04:04.674312+00:00,partner_players,players_metadata,2022,,,,,,https://fantasy-api.formula1.com/partner_games/f1/2022/players?v=1,,,0,False,[],"ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /partner_games/f1/2022/players?v=1 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))",False,False,False,D_transport_or_endpoint_failure,"No HTTP response was received. ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /partner_games/f1/2022/players?v=1 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))"
8,2026-08-05T20:04:05.682986+00:00,partner_season_metadata,season_metadata,2022,,,,,,https://fantasy-api.formula1.com/partner_games/f1/2022,,,0,False,[],"ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /partner_games/f1/2022 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))",False,False,False,D_transport_or_endpoint_failure,"No HTTP response was received. ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /partner_games/f1/2022 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))"
9,2026-08-05T20:04:06.693077+00:00,partner_game_periods,game_period_metadata,2022,,,,,,https://fantasy-api.formula1.com/partner_games/f1/2022/game_periods,,,0,False,[],"ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /partner_games/f1/2022/game_periods (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))",False,False,False,D_transport_or_endpoint_failure,"No HTTP response was received. ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /partner_games/f1/2022/game_periods (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))"
10,2026-08-05T20:04:07.703129+00:00,partner_players,players_metadata,2023,,,,,,https://fantasy-api.formula1.com/partner_games/f1/2023/players?v=1,,,0,False,[],"ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /partner_games/f1/2023/players?v=1 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))",False,False,False,D_transport_or_endpoint_failure,"No HTTP response was received. ConnectionError: HTTPSConnectionPool(host='fantasy-api.formula1.com', port=443): Max retries exceeded with url: /partner_games/f1/2023/players?v=1 (Caused by NameResolutionError(""HTTPSConnection(host='fantasy-api.formula1.com', port=443): Failed to resolve 'fantasy-api.formula1.com' ([Errno 8] nodename nor servname provided, or not known)""))"
